"Year","Total","solid_fuel"
"1751","3","3"
"1752","3","3"
"1753","3","3"
"1754","3","3"
"1755","3","3"
"1756","3","3"
"1757","3","3"
"1758","3","3"
"1759","3","3"
"1760","3","3"
"1761","3","3"
"1762","3","3"
"1763","3","3"
"1764","3","3"
"1765","3","3"
"1766","3","3"
"1767","3","3"
"1768","3","3"
"1769","3","3"
"1770","3","3"
"1771","4","4"
"1772","4","4"
"1773","4","4"
"1774","4","4"
"1775","4","4"
"1776","4","4"
"1777","4","4"
"1778","4","4"
"1779","4","4"
"1780","4","4"
"1781","5","5"
"1782","5","5"
"1783","5","5"
"1784","5","5"
"1785","5","5"
"1786","5","5"
"1787","5","5"
"1788","5","5"
"1789","5","5"
"1790","5","5"
"1791","6","6"
"1792","6","6"
"1793","6","6"
"1794","6","6"
"1795","6","6"
"1796","6","6"
"1797","7","7"
"1798","7","7"
"1799","7","7"
"1800","8","8"
"1801","8","8"
"1802","10","10"
"1803","9","9"
"1804","9","9"
"1805","9","9"
"1806","10","10"
"1807","10","10"
"1808","10","10"
"1809","10","10"
"1810","10","10"
"1811","11","11"
"1812","11","11"
"1813","11","11"
"1814","11","11"
"1815","12","12"
"1816","13","13"
"1817","14","14"
"1818","14","14"
"1819","14","14"
"1820","14","14"
"1821","14","14"
"1822","15","15"
"1823","16","16"
"1824","16","16"
"1825","17","17"
"1826","17","17"
"1827","18","18"
"1828","18","18"
"1829","18","18"
"1830","24","24"
"1831","23","23"
"1832","23","23"
"1833","24","24"
"1834","24","24"
"1835","25","25"
"1836","29","29"
"1837","29","29"
"1838","30","30"
"1839","31","31"
"1840","33","33"
"1841","34","34"
"1842","36","36"
"1843","37","37"
"1844","39","39"
"1845","43","43"
"1846","43","43"
"1847","46","46"
"1848","47","47"
"1849","50","50"
"1850","54","54"
"1851","54","54"
"1852","57","57"
"1853","59","59"
"1854","69","69"
"1855","71","71"
"1856","76","76"
"1857","77","77"
"1858","78","78"
"1859","83","83"
"1860","91","91"
"1861","95","95"
"1862","97","96"
"1863","104","103"
"1864","112","112"
"1865","119","119"
"1866","122","122"
"1867","130","130"
"1868","135","134"
"1869","142","142"
"1870","147","146"
"1871","156","156"
"1872","173","173"
"1873","184","183"
"1874","174","173"
"1875","188","187"
"1876","191","190"
"1877","194","192"
"1878","196","194"
"1879","210","207"
"1880","236","233"
"1881","243","239"
"1882","256","252"
"1883","272","269"
"1884","275","271"
"1885","277","273"
"1886","281","275"
"1887","295","287"
"1888","327","317"
"1889","327","318"
"1890","356","345"
"1891","372","360"
"1892","374","363"
"1893","370","358"
"1894","383","372"
"1895","406","393"
"1896","419","405"
"1897","440","425"
"1898","465","449"
"1899","507","491"
"1900","534","515"
"1901","552","531"
"1902","566","543"
"1903","617","593"
"1904","624","597"
"1905","663","636"
"1906","707","680"
"1907","784","750"
"1908","750","714"
"1909","785","747"
"1910","819","778"
"1911","836","792"
"1912","879","834"
"1913","943","895"
"1914","850","800"
"1915","838","784"
"1916","901","842"
"1917","955","891"
"1918","936","873"
"1919","806","735"
"1920","932","843"
"1921","803","709"
"1922","845","740"
"1923","970","845"
"1924","963","836"
"1925","975","842"
"1926","983","846"
"1927","1062","905"
"1928","1065","890"
"1929","1145","947"
"1930","1053","862"
"1931","940","759"
"1932","847","675"
"1933","893","708"
"1934","973","775"
"1935","1027","811"
"1936","1130","893"
"1937","1209","941"
"1938","1142","880"
"1939","1192","918"
"1940","1299","1017"
"1941","1334","1043"
"1942","1342","1063"
"1943","1391","1092"
"1944","1383","1047"
"1945","1160","820"
"1946","1238","875"
"1947","1392","992"
"1948","1469","1015"
"1949","1419","960"
"1950","1630","1070"
"1951","1767","1129"
"1952","1795","1119"
"1953","1841","1125"
"1954","1865","1116"
"1955","2042","1208"
"1956","2177","1273"
"1957","2270","1309"
"1958","2330","1336"
"1959","2454","1382"
"1960","2569","1410"
"1961","2580","1349"
"1962","2686","1351"
"1963","2833","1396"
"1964","2995","1435"
"1965","3130","1460"
"1966","3288","1478"
"1967","3393","1448"
"1968","3566","1448"
"1969","3780","1486"
"1970","4053","1556"
"1971","4208","1559"
"1972","4376","1576"
"1973","4614","1581"
"1974","4623","1579"
"1975","4596","1673"
"1976","4864","1710"
"1977","5026","1765"
"1978","5087","1793"
"1979","5369","1887"
"1980","5315","1947"
"1981","5152","1921"
"1982","5113","1992"
"1983","5094","1995"
"1984","5280","2094"
"1985","5439","2237"
"1986","5607","2300"
"1987","5752","2364"
"1988","5965","2414"
"1989","6097","2457"
"1990","6127","2419"
"1991","6217","2345"
"1992","6164","2357"
"1993","6162","2298"
"1994","6266","2358"
"1995","6398","2442"
"1996","6542","2469"
"1997","6651","2495"
"1998","6643","2391"
"1999","6610","2352"
"2000","6765","2367"
"2001","6927","2492"
"2002","6996","2521"
"2003","7416","2743"
"2004","7807","2967"
"2005","8093","3157"
"2006","8370","3339"
"2007","8566","3464"
"2008","8783","3571"
"2009","8740","3620"
"2010","9167","3842"
