Year,Fiscal Deficit
1980-81,247
1981-82,254
1982-83,377
1983-84,398
1984-85,520
1985-86,514
1986-87,900
1987-88,976
1988-89,735
1989-90,952
1990-91,"1,798"
1991-92,"1,876"
1992-93,"1,174"
1993-94,526
1994-95,"1,292"
1995-96,"1,746"
1996-97,"2,358"
1997-98,"3,175"
1998-99,"5,619"
1999-00,"6,792"
2000-01,"7,988"
2001-02,"6,511"
2002-03,"6,080"
2003-04,"9,160"
2004-05,"8,700"
2005-06,"6,270"
2006-07,"5,650"
2007-08,"4,770"
2008-09,"10,440"
2009-10,"15,150"
2010-11,"15,070"
2011-12,"11,030"
2012-13,"16,490"
2013-14,"18,420"
2014-15 (RE),"18,380"
2015-16 (BE),"22,050"
