Year,Fiscal Deficit
1980-81,145
1981-82,136
1982-83,142
1983-84,198
1984-85,248
1985-86,247
1986-87,244
1987-88,417
1988-89,410
1989-90,524
1990-91,661
1991-92,449
1992-93,204
1993-94,88
1994-95,-23
1995-96,97
1996-97,166
1997-98,444
1998-99,"1,054"
1999-00,"1,339"
2000-01,"2,166"
2001-02,748
2002-03,"1,250"
2003-04,-20
2004-05,"1,010"
2005-06,"1,590"
2006-07,"1,460"
2007-08,"2,610"
2008-09,"2,330"
2009-10,"2,230"
2010-11,"2,370"
2011-12,"3,690"
2012-13,"4,220"
2013-14,"4,550"
2014-15 (RE),"6,630"
2015-16 (BE),"6,630"
