Year,Fiscal Deficit
1980-81,180
1981-82,62
1982-83,123
1983-84,299
1984-85,232
1985-86,323
1986-87,440
1987-88,448
1988-89,412
1989-90,604
1990-91,799
1991-92,803
1992-93,732
1993-94,935
1994-95,"1,109"
1995-96,"1,303"
1996-97,"1,543"
1997-98,"2,414"
1998-99,"3,012"
1999-00,"4,537"
2000-01,"3,878"
2001-02,"3,269"
2002-03,"4,990"
2003-04,"5,540"
2004-05,"4,450"
2005-06,"4,180"
2006-07,"3,820"
2007-08,"6,100"
2008-09,"6,350"
2009-10,"7,870"
2010-11,"7,730"
2011-12,"12,810"
2012-13,"15,000"
2013-14,"16,940"
2014-15 (RE),"16,000"
2015-16 (BE),"17,700"
