Year,Fiscal Deficit
1980-81,337
1981-82,238
1982-83,291
1983-84,366
1984-85,494
1985-86,516
1986-87,561
1987-88,725
1988-89,871
1989-90,723
1990-91,"1,019"
1991-92,984
1992-93,876
1993-94,983
1994-95,"1,417"
1995-96,"1,633"
1996-97,"1,926"
1997-98,"1,821"
1998-99,"4,127"
1999-00,"3,911"
2000-01,"2,712"
2001-02,"3,649"
2002-03,"4,060"
2003-04,"7,320"
2004-05,"6,490"
2005-06,"4,570"
2006-07,"2,750"
2007-08,"2,780"
2008-09,"4,430"
2009-10,"6,200"
2010-11,"5,270"
2011-12,"5,760"
2012-13,"9,420"
2013-14,"9,880"
2014-15 (RE),"13,570"
2015-16 (BE),"16,750"
