Year,Fiscal Deficit
1980-81,463
1981-82,489
1982-83,552
1983-84,740
1984-85,"1,051"
1985-86,"1,234"
1986-87,"1,065"
1987-88,"1,014"
1988-89,"1,277"
1989-90,"1,844"
1990-91,"1,611"
1991-92,"1,657"
1992-93,"2,586"
1993-94,"2,265"
1994-95,"2,861"
1995-96,"4,151"
1996-97,"4,954"
1997-98,"6,442"
1998-99,"7,462"
1999-00,"11,706"
2000-01,"8,976"
2001-02,"10,898"
2002-03,"14,290"
2003-04,"17,930"
2004-05,"18,620"
2005-06,"17,630"
2006-07,"11,550"
2007-08,"-2,820"
2008-09,"14,000"
2009-10,"26,160"
2010-11,"18,860"
2011-12,"19,970"
2012-13,"13,740"
2013-14,"26,020"
2014-15 (RE),"37,250"
2015-16 (BE),"30,730"
