Year,Fiscal Deficit
1980-81,160
1981-82,178
1982-83,183
1983-84,262
1984-85,479
1985-86,566
1986-87,343
1987-88,968
1988-89,833
1989-90,909
1990-91,"1,242"
1991-92,"1,151"
1992-93,"1,252"
1993-94,"1,493"
1994-95,"1,785"
1995-96,"1,365"
1996-97,"1,465"
1997-98,"2,478"
1998-99,"3,779"
1999-00,"3,195"
2000-01,"3,904"
2001-02,"4,958"
2002-03,"4,400"
2003-04,"4,880"
2004-05,"4,040"
2005-06,"2,660"
2006-07,"4,380"
2007-08,"4,600"
2008-09,"6,690"
2009-10,"6,170"
2010-11,"7,140"
2011-12,"8,490"
2012-13,"9,350"
2013-14,"8,790"
2014-15 (RE),"10,400"
2015-16 (BE),"11,900"
