Year,Fiscal Deficit
1980-81,207
1981-82,327
1982-83,275
1983-84,298
1984-85,363
1985-86,343
1986-87,467
1987-88,903
1988-89,736
1989-90,581
1990-91,545
1991-92,792
1992-93,"1,159"
1993-94,"1,470"
1994-95,"1,763"
1995-96,"2,574"
1996-97,"2,507"
1997-98,"2,552"
1998-99,"5,151"
1999-00,"5,361"
2000-01,"4,313"
2001-02,"5,748"
2002-03,"6,110"
2003-04,"7,370"
2004-05,"6,150"
2005-06,"5,150"
2006-07,"3,970"
2007-08,"3,410"
2008-09,"6,970"
2009-10,"10,300"
2010-11,"4,130"
2011-12,"3,630"
2012-13,"8,530"
2013-14,"15,190"
2014-15 (RE),"23,160"
2015-16 (BE),"20,610"
