Year,Fiscal Deficit
1980-81,289
1981-82,380
1982-83,498
1983-84,414
1984-85,340
1985-86,259
1986-87,587
1987-88,551
1988-89,579
1989-90,"1,055"
1990-91,"1,634"
1991-92,"1,144"
1992-93,"1,013"
1993-94,"1,672"
1994-95,"1,965"
1995-96,"2,696"
1996-97,"3,397"
1997-98,"4,008"
1998-99,"7,109"
1999-00,"11,666"
2000-01,"10,920"
2001-02,"11,804"
2002-03,"10,570"
2003-04,"12,870"
2004-05,"10,650"
2005-06,"9,600"
2006-07,"11,430"
2007-08,"11,400"
2008-09,"13,560"
2009-10,"24,950"
2010-11,"19,530"
2011-12,"17,700"
2012-13,"19,150"
2013-14,"25,350"
2014-15 (RE),"23,880"
2015-16 (BE),"15,980"
