"Country Name","Country Code","Year","Value"
"Albania","ALB","1960","1608800"
"Albania","ALB","1961","1659800"
"Albania","ALB","1962","1711319"
"Albania","ALB","1963","1762621"
"Albania","ALB","1964","1814135"
"Albania","ALB","1965","1864791"
"Albania","ALB","1966","1914573"
"Albania","ALB","1967","1965598"
"Albania","ALB","1968","2022272"
"Albania","ALB","1969","2081695"
"Albania","ALB","1970","2135479"
"Albania","ALB","1971","2187853"
"Albania","ALB","1972","2243126"
"Albania","ALB","1973","2296752"
"Albania","ALB","1974","2350124"
"Albania","ALB","1975","2404831"
"Albania","ALB","1976","2458526"
"Albania","ALB","1977","2513546"
"Albania","ALB","1978","2566266"
"Albania","ALB","1979","2617832"
"Albania","ALB","1980","2671997"
"Albania","ALB","1981","2726056"
"Albania","ALB","1982","2784278"
"Albania","ALB","1983","2843960"
"Albania","ALB","1984","2904429"
"Albania","ALB","1985","2964762"
"Albania","ALB","1986","3022635"
"Albania","ALB","1987","3083605"
"Albania","ALB","1988","3142336"
"Albania","ALB","1989","3227943"
"Albania","ALB","1990","3286542"
"Albania","ALB","1991","3266790"
"Albania","ALB","1992","3247039"
"Albania","ALB","1993","3227287"
"Albania","ALB","1994","3207536"
"Albania","ALB","1995","3187784"
"Albania","ALB","1996","3168033"
"Albania","ALB","1997","3148281"
"Albania","ALB","1998","3128530"
"Albania","ALB","1999","3108778"
"Albania","ALB","2000","3089027"
"Albania","ALB","2001","3060173"
"Albania","ALB","2002","3051010"
"Albania","ALB","2003","3039616"
"Albania","ALB","2004","3026939"
"Albania","ALB","2005","3011487"
"Albania","ALB","2006","2992547"
"Albania","ALB","2007","2970017"
"Albania","ALB","2008","2947314"
"Albania","ALB","2009","2927519"
"Albania","ALB","2010","2913021"
"Albania","ALB","2011","2905195"
"Albania","ALB","2012","2900401"
"Albania","ALB","2013","2895092"
"Albania","ALB","2014","2889104"
"Albania","ALB","2015","2880703"
"Albania","ALB","2016","2876101"
