"Country Name","Country Code","Year","Value"
"Andorra","AND","1960","13411"
"Andorra","AND","1961","14375"
"Andorra","AND","1962","15370"
"Andorra","AND","1963","16412"
"Andorra","AND","1964","17469"
"Andorra","AND","1965","18549"
"Andorra","AND","1966","19647"
"Andorra","AND","1967","20758"
"Andorra","AND","1968","21890"
"Andorra","AND","1969","23058"
"Andorra","AND","1970","24276"
"Andorra","AND","1971","25559"
"Andorra","AND","1972","26892"
"Andorra","AND","1973","28232"
"Andorra","AND","1974","29520"
"Andorra","AND","1975","30705"
"Andorra","AND","1976","31777"
"Andorra","AND","1977","32771"
"Andorra","AND","1978","33737"
"Andorra","AND","1979","34818"
"Andorra","AND","1980","36067"
"Andorra","AND","1981","37500"
"Andorra","AND","1982","39114"
"Andorra","AND","1983","40867"
"Andorra","AND","1984","42706"
"Andorra","AND","1985","44600"
"Andorra","AND","1986","46517"
"Andorra","AND","1987","48455"
"Andorra","AND","1988","50434"
"Andorra","AND","1989","52448"
"Andorra","AND","1990","54509"
"Andorra","AND","1991","56671"
"Andorra","AND","1992","58888"
"Andorra","AND","1993","60971"
"Andorra","AND","1994","62677"
"Andorra","AND","1995","63850"
"Andorra","AND","1996","64360"
"Andorra","AND","1997","64327"
"Andorra","AND","1998","64142"
"Andorra","AND","1999","64370"
"Andorra","AND","2000","65390"
"Andorra","AND","2001","67341"
"Andorra","AND","2002","70049"
"Andorra","AND","2003","73182"
"Andorra","AND","2004","76244"
"Andorra","AND","2005","78867"
"Andorra","AND","2006","80991"
"Andorra","AND","2007","82683"
"Andorra","AND","2008","83861"
"Andorra","AND","2009","84462"
"Andorra","AND","2010","84449"
"Andorra","AND","2011","83751"
"Andorra","AND","2012","82431"
"Andorra","AND","2013","80788"
"Andorra","AND","2014","79223"
"Andorra","AND","2015","78014"
"Andorra","AND","2016","77281"
