"Country Name","Country Code","Year","Value"
"Angola","AGO","1960","5643182"
"Angola","AGO","1961","5753024"
"Angola","AGO","1962","5866061"
"Angola","AGO","1963","5980417"
"Angola","AGO","1964","6093321"
"Angola","AGO","1965","6203299"
"Angola","AGO","1966","6309770"
"Angola","AGO","1967","6414995"
"Angola","AGO","1968","6523791"
"Angola","AGO","1969","6642632"
"Angola","AGO","1970","6776381"
"Angola","AGO","1971","6927269"
"Angola","AGO","1972","7094834"
"Angola","AGO","1973","7277960"
"Angola","AGO","1974","7474338"
"Angola","AGO","1975","7682479"
"Angola","AGO","1976","7900997"
"Angola","AGO","1977","8130988"
"Angola","AGO","1978","8376147"
"Angola","AGO","1979","8641521"
"Angola","AGO","1980","8929900"
"Angola","AGO","1981","9244507"
"Angola","AGO","1982","9582156"
"Angola","AGO","1983","9931562"
"Angola","AGO","1984","10277321"
"Angola","AGO","1985","10609042"
"Angola","AGO","1986","10921037"
"Angola","AGO","1987","11218268"
"Angola","AGO","1988","11513968"
"Angola","AGO","1989","11827237"
"Angola","AGO","1990","12171441"
"Angola","AGO","1991","12553446"
"Angola","AGO","1992","12968345"
"Angola","AGO","1993","13403734"
"Angola","AGO","1994","13841301"
"Angola","AGO","1995","14268994"
"Angola","AGO","1996","14682284"
"Angola","AGO","1997","15088981"
"Angola","AGO","1998","15504318"
"Angola","AGO","1999","15949766"
"Angola","AGO","2000","16440924"
"Angola","AGO","2001","16983266"
"Angola","AGO","2002","17572649"
"Angola","AGO","2003","18203369"
"Angola","AGO","2004","18865716"
"Angola","AGO","2005","19552542"
"Angola","AGO","2006","20262399"
"Angola","AGO","2007","20997687"
"Angola","AGO","2008","21759420"
"Angola","AGO","2009","22549547"
"Angola","AGO","2010","23369131"
"Angola","AGO","2011","24218565"
"Angola","AGO","2012","25096150"
"Angola","AGO","2013","25998340"
"Angola","AGO","2014","26920466"
"Angola","AGO","2015","27859305"
"Angola","AGO","2016","28813463"
