"Country Name","Country Code","Year","Value"
"Antigua and Barbuda","ATG","1960","55339"
"Antigua and Barbuda","ATG","1961","56144"
"Antigua and Barbuda","ATG","1962","57144"
"Antigua and Barbuda","ATG","1963","58294"
"Antigua and Barbuda","ATG","1964","59524"
"Antigua and Barbuda","ATG","1965","60781"
"Antigua and Barbuda","ATG","1966","62059"
"Antigua and Barbuda","ATG","1967","63360"
"Antigua and Barbuda","ATG","1968","64655"
"Antigua and Barbuda","ATG","1969","65910"
"Antigua and Barbuda","ATG","1970","67098"
"Antigua and Barbuda","ATG","1971","68188"
"Antigua and Barbuda","ATG","1972","69176"
"Antigua and Barbuda","ATG","1973","70066"
"Antigua and Barbuda","ATG","1974","70878"
"Antigua and Barbuda","ATG","1975","71609"
"Antigua and Barbuda","ATG","1976","72285"
"Antigua and Barbuda","ATG","1977","72875"
"Antigua and Barbuda","ATG","1978","73324"
"Antigua and Barbuda","ATG","1979","73528"
"Antigua and Barbuda","ATG","1980","73442"
"Antigua and Barbuda","ATG","1981","73066"
"Antigua and Barbuda","ATG","1982","72448"
"Antigua and Barbuda","ATG","1983","71639"
"Antigua and Barbuda","ATG","1984","70725"
"Antigua and Barbuda","ATG","1985","69782"
"Antigua and Barbuda","ATG","1986","68809"
"Antigua and Barbuda","ATG","1987","67845"
"Antigua and Barbuda","ATG","1988","67058"
"Antigua and Barbuda","ATG","1989","66627"
"Antigua and Barbuda","ATG","1990","66696"
"Antigua and Barbuda","ATG","1991","67307"
"Antigua and Barbuda","ATG","1992","68427"
"Antigua and Barbuda","ATG","1993","69938"
"Antigua and Barbuda","ATG","1994","71719"
"Antigua and Barbuda","ATG","1995","73619"
"Antigua and Barbuda","ATG","1996","75628"
"Antigua and Barbuda","ATG","1997","77739"
"Antigua and Barbuda","ATG","1998","79851"
"Antigua and Barbuda","ATG","1999","81831"
"Antigua and Barbuda","ATG","2000","83584"
"Antigua and Barbuda","ATG","2001","85057"
"Antigua and Barbuda","ATG","2002","86266"
"Antigua and Barbuda","ATG","2003","87293"
"Antigua and Barbuda","ATG","2004","88257"
"Antigua and Barbuda","ATG","2005","89253"
"Antigua and Barbuda","ATG","2006","90301"
"Antigua and Barbuda","ATG","2007","91381"
"Antigua and Barbuda","ATG","2008","92478"
"Antigua and Barbuda","ATG","2009","93581"
"Antigua and Barbuda","ATG","2010","94661"
"Antigua and Barbuda","ATG","2011","95719"
"Antigua and Barbuda","ATG","2012","96777"
"Antigua and Barbuda","ATG","2013","97824"
"Antigua and Barbuda","ATG","2014","98875"
"Antigua and Barbuda","ATG","2015","99923"
"Antigua and Barbuda","ATG","2016","100963"
