"Year","Value"
"1960","92490932.0"
"1961","95044497.0"
"1962","97682294.0"
"1963","100411076.0"
"1964","103239902.0"
"1965","106174988.0"
"1966","109230593.0"
"1967","112406932.0"
"1968","115680165.0"
"1969","119016542.0"
"1970","122398374.0"
"1971","125807419.0"
"1972","129269375.0"
"1973","132863416.0"
"1974","136696761.0"
"1975","140843298.0"
"1976","145332378.0"
"1977","150133054.0"
"1978","155183724.0"
"1979","160392488.0"
"1980","165689490.0"
"1981","171051950.0"
"1982","176490084.0"
"1983","182005827.0"
"1984","187610756.0"
"1985","193310301.0"
"1986","199093767.0"
"1987","204942549.0"
"1988","210844771.0"
"1989","216787402.0"
"1990","224735446.0"
"1991","230829868.0"
"1992","235037179.0"
"1993","241286091.0"
"1994","247435930.0"
"1995","255029671.0"
"1996","260843462.0"
"1997","266575075.0"
"1998","272235146.0"
"1999","277962869.0"
"2000","283832016.0"
"2001","289850357.0"
"2002","296026575.0"
"2003","302434519.0"
"2004","309162029.0"
"2005","316264728.0"
"2006","323773264.0"
"2007","331653797.0"
"2008","339825483.0"
"2009","348145094.0"
"2010","356508908.0"
"2011","364895878.0"
"2012","373306993.0"
"2013","381702086.0"
"2014","390043028.0"
"2015","398304960.0"
"2016","406452690.0"
