"Country Name","Country Code","Year","Value"
"Argentina","ARG","1960","20619075"
"Argentina","ARG","1961","20953077"
"Argentina","ARG","1962","21287682"
"Argentina","ARG","1963","21621840"
"Argentina","ARG","1964","21953929"
"Argentina","ARG","1965","22283390"
"Argentina","ARG","1966","22608748"
"Argentina","ARG","1967","22932203"
"Argentina","ARG","1968","23261278"
"Argentina","ARG","1969","23605987"
"Argentina","ARG","1970","23973058"
"Argentina","ARG","1971","24366439"
"Argentina","ARG","1972","24782949"
"Argentina","ARG","1973","25213388"
"Argentina","ARG","1974","25644506"
"Argentina","ARG","1975","26066975"
"Argentina","ARG","1976","26477152"
"Argentina","ARG","1977","26878565"
"Argentina","ARG","1978","27277741"
"Argentina","ARG","1979","27684534"
"Argentina","ARG","1980","28105888"
"Argentina","ARG","1981","28543364"
"Argentina","ARG","1982","28993987"
"Argentina","ARG","1983","29454738"
"Argentina","ARG","1984","29920904"
"Argentina","ARG","1985","30388783"
"Argentina","ARG","1986","30857244"
"Argentina","ARG","1987","31326473"
"Argentina","ARG","1988","31795517"
"Argentina","ARG","1989","32263561"
"Argentina","ARG","1990","32729739"
"Argentina","ARG","1991","33193918"
"Argentina","ARG","1992","33655151"
"Argentina","ARG","1993","34110917"
"Argentina","ARG","1994","34558115"
"Argentina","ARG","1995","34994814"
"Argentina","ARG","1996","35419682"
"Argentina","ARG","1997","35833969"
"Argentina","ARG","1998","36241590"
"Argentina","ARG","1999","36648068"
"Argentina","ARG","2000","37057452"
"Argentina","ARG","2001","37471509"
"Argentina","ARG","2002","37889370"
"Argentina","ARG","2003","38309379"
"Argentina","ARG","2004","38728696"
"Argentina","ARG","2005","39145488"
"Argentina","ARG","2006","39558890"
"Argentina","ARG","2007","39970224"
"Argentina","ARG","2008","40382389"
"Argentina","ARG","2009","40799407"
"Argentina","ARG","2010","41223889"
"Argentina","ARG","2011","41656879"
"Argentina","ARG","2012","42096739"
"Argentina","ARG","2013","42539925"
"Argentina","ARG","2014","42981515"
"Argentina","ARG","2015","43417765"
"Argentina","ARG","2016","43847430"
