"Country Name","Country Code","Year","Value"
"Aruba","ABW","1960","54211"
"Aruba","ABW","1961","55438"
"Aruba","ABW","1962","56225"
"Aruba","ABW","1963","56695"
"Aruba","ABW","1964","57032"
"Aruba","ABW","1965","57360"
"Aruba","ABW","1966","57715"
"Aruba","ABW","1967","58055"
"Aruba","ABW","1968","58386"
"Aruba","ABW","1969","58726"
"Aruba","ABW","1970","59063"
"Aruba","ABW","1971","59440"
"Aruba","ABW","1972","59840"
"Aruba","ABW","1973","60243"
"Aruba","ABW","1974","60528"
"Aruba","ABW","1975","60657"
"Aruba","ABW","1976","60586"
"Aruba","ABW","1977","60366"
"Aruba","ABW","1978","60103"
"Aruba","ABW","1979","59980"
"Aruba","ABW","1980","60096"
"Aruba","ABW","1981","60567"
"Aruba","ABW","1982","61345"
"Aruba","ABW","1983","62201"
"Aruba","ABW","1984","62836"
"Aruba","ABW","1985","63026"
"Aruba","ABW","1986","62644"
"Aruba","ABW","1987","61833"
"Aruba","ABW","1988","61079"
"Aruba","ABW","1989","61032"
"Aruba","ABW","1990","62149"
"Aruba","ABW","1991","64622"
"Aruba","ABW","1992","68235"
"Aruba","ABW","1993","72504"
"Aruba","ABW","1994","76700"
"Aruba","ABW","1995","80324"
"Aruba","ABW","1996","83200"
"Aruba","ABW","1997","85451"
"Aruba","ABW","1998","87277"
"Aruba","ABW","1999","89005"
"Aruba","ABW","2000","90853"
"Aruba","ABW","2001","92898"
"Aruba","ABW","2002","94992"
"Aruba","ABW","2003","97017"
"Aruba","ABW","2004","98737"
"Aruba","ABW","2005","100031"
"Aruba","ABW","2006","100832"
"Aruba","ABW","2007","101220"
"Aruba","ABW","2008","101353"
"Aruba","ABW","2009","101453"
"Aruba","ABW","2010","101669"
"Aruba","ABW","2011","102053"
"Aruba","ABW","2012","102577"
"Aruba","ABW","2013","103187"
"Aruba","ABW","2014","103795"
"Aruba","ABW","2015","104341"
"Aruba","ABW","2016","104822"
