"Country Name","Country Code","Year","Value"
"Australia","AUS","1960","10276477"
"Australia","AUS","1961","10483000"
"Australia","AUS","1962","10742000"
"Australia","AUS","1963","10950000"
"Australia","AUS","1964","11167000"
"Australia","AUS","1965","11388000"
"Australia","AUS","1966","11651000"
"Australia","AUS","1967","11799000"
"Australia","AUS","1968","12009000"
"Australia","AUS","1969","12263000"
"Australia","AUS","1970","12507000"
"Australia","AUS","1971","12937000"
"Australia","AUS","1972","13177000"
"Australia","AUS","1973","13380000"
"Australia","AUS","1974","13723000"
"Australia","AUS","1975","13893000"
"Australia","AUS","1976","14033000"
"Australia","AUS","1977","14192000"
"Australia","AUS","1978","14358000"
"Australia","AUS","1979","14514000"
"Australia","AUS","1980","14692000"
"Australia","AUS","1981","14927000"
"Australia","AUS","1982","15178000"
"Australia","AUS","1983","15369000"
"Australia","AUS","1984","15544000"
"Australia","AUS","1985","15758000"
"Australia","AUS","1986","16018400"
"Australia","AUS","1987","16263900"
"Australia","AUS","1988","16532200"
"Australia","AUS","1989","16814400"
"Australia","AUS","1990","17065100"
"Australia","AUS","1991","17284000"
"Australia","AUS","1992","17495000"
"Australia","AUS","1993","17667000"
"Australia","AUS","1994","17855000"
"Australia","AUS","1995","18072000"
"Australia","AUS","1996","18311000"
"Australia","AUS","1997","18517000"
"Australia","AUS","1998","18711000"
"Australia","AUS","1999","18926000"
"Australia","AUS","2000","19153000"
"Australia","AUS","2001","19413000"
"Australia","AUS","2002","19651400"
"Australia","AUS","2003","19895400"
"Australia","AUS","2004","20127400"
"Australia","AUS","2005","20394800"
"Australia","AUS","2006","20697900"
"Australia","AUS","2007","20827600"
"Australia","AUS","2008","21249200"
"Australia","AUS","2009","21691700"
"Australia","AUS","2010","22031750"
"Australia","AUS","2011","22340024"
"Australia","AUS","2012","22728254"
"Australia","AUS","2013","23117353"
"Australia","AUS","2014","23460694"
"Australia","AUS","2015","23789338"
"Australia","AUS","2016","24127159"
