"Year","Value"
"1960","7047539.0"
"1961","7086299.0"
"1962","7129864.0"
"1963","7175811.0"
"1964","7223801.0"
"1965","7270889.0"
"1966","7322066.0"
"1967","7376998.0"
"1968","7415403.0"
"1969","7441055.0"
"1970","7467086.0"
"1971","7500482.0"
"1972","7544201.0"
"1973","7586115.0"
"1974","7599038.0"
"1975","7578903.0"
"1976","7565525.0"
"1977","7568430.0"
"1978","7562305.0"
"1979","7549425.0"
"1980","7549433.0"
"1981","7568710.0"
"1982","7574140.0"
"1983","7561910.0"
"1984","7561434.0"
"1985","7564985.0"
"1986","7569794.0"
"1987","7574586.0"
"1988","7585317.0"
"1989","7619567.0"
"1990","7677850.0"
"1991","7754891.0"
"1992","7840709.0"
"1993","7905633.0"
"1994","7936118.0"
"1995","7948278.0"
"1996","7959017.0"
"1997","7968041.0"
"1998","7976789.0"
"1999","7992324.0"
"2000","8011566.0"
"2001","8042293.0"
"2002","8081957.0"
"2003","8121423.0"
"2004","8171966.0"
"2005","8227829.0"
"2006","8268641.0"
"2007","8295487.0"
"2008","8321496.0"
"2009","8343323.0"
"2010","8363404.0"
"2011","8391643.0"
"2012","8429991.0"
"2013","8479375.0"
"2014","8541575.0"
"2015","8633169.0"
"2016","8747358.0"
