"Country Name","Country Code","Year","Value"
"Bahrain","BHR","1960","162427"
"Bahrain","BHR","1961","167894"
"Bahrain","BHR","1962","173144"
"Bahrain","BHR","1963","178140"
"Bahrain","BHR","1964","182887"
"Bahrain","BHR","1965","187431"
"Bahrain","BHR","1966","191780"
"Bahrain","BHR","1967","196063"
"Bahrain","BHR","1968","200653"
"Bahrain","BHR","1969","206043"
"Bahrain","BHR","1970","212605"
"Bahrain","BHR","1971","220312"
"Bahrain","BHR","1972","229155"
"Bahrain","BHR","1973","239527"
"Bahrain","BHR","1974","251911"
"Bahrain","BHR","1975","266543"
"Bahrain","BHR","1976","283752"
"Bahrain","BHR","1977","303175"
"Bahrain","BHR","1978","323473"
"Bahrain","BHR","1979","342798"
"Bahrain","BHR","1980","359888"
"Bahrain","BHR","1981","374120"
"Bahrain","BHR","1982","385950"
"Bahrain","BHR","1983","396454"
"Bahrain","BHR","1984","407227"
"Bahrain","BHR","1985","419430"
"Bahrain","BHR","1986","433482"
"Bahrain","BHR","1987","448973"
"Bahrain","BHR","1988","465202"
"Bahrain","BHR","1989","481090"
"Bahrain","BHR","1990","495931"
"Bahrain","BHR","1991","509765"
"Bahrain","BHR","1992","523087"
"Bahrain","BHR","1993","536213"
"Bahrain","BHR","1994","549588"
"Bahrain","BHR","1995","563699"
"Bahrain","BHR","1996","578668"
"Bahrain","BHR","1997","594930"
"Bahrain","BHR","1998","613702"
"Bahrain","BHR","1999","636545"
"Bahrain","BHR","2000","664614"
"Bahrain","BHR","2001","697549"
"Bahrain","BHR","2002","735148"
"Bahrain","BHR","2003","778711"
"Bahrain","BHR","2004","829848"
"Bahrain","BHR","2005","889168"
"Bahrain","BHR","2006","958414"
"Bahrain","BHR","2007","1035891"
"Bahrain","BHR","2008","1114590"
"Bahrain","BHR","2009","1185029"
"Bahrain","BHR","2010","1240862"
"Bahrain","BHR","2011","1278269"
"Bahrain","BHR","2012","1300217"
"Bahrain","BHR","2013","1315411"
"Bahrain","BHR","2014","1336397"
"Bahrain","BHR","2015","1371855"
"Bahrain","BHR","2016","1425171"
