"Year","Value"
"1960","48199747.0"
"1961","49592802.0"
"1962","51030137.0"
"1963","52532417.0"
"1964","54129100.0"
"1965","55834038.0"
"1966","57672990.0"
"1967","59620669.0"
"1968","61579473.0"
"1969","63417394.0"
"1970","65047770.0"
"1971","66424744.0"
"1972","67597470.0"
"1973","68691185.0"
"1974","69884420.0"
"1975","71305923.0"
"1976","72999136.0"
"1977","74925896.0"
"1978","77033846.0"
"1979","79236776.0"
"1980","81470860.0"
"1981","83721268.0"
"1982","86007331.0"
"1983","88338242.0"
"1984","90732362.0"
"1985","93199865.0"
"1986","95742431.0"
"1987","98343809.0"
"1988","100975321.0"
"1989","103599232.0"
"1990","106188642.0"
"1991","108727432.0"
"1992","111221938.0"
"1993","113695139.0"
"1994","116182267.0"
"1995","118706871.0"
"1996","121269645.0"
"1997","123854640.0"
"1998","126447965.0"
"1999","129029691.0"
"2000","131581243.0"
"2001","134107160.0"
"2002","136600667.0"
"2003","139019001.0"
"2004","141307489.0"
"2005","143431101.0"
"2006","145368004.0"
"2007","147139191.0"
"2008","148805814.0"
"2009","150454708.0"
"2010","152149102.0"
"2011","153911916.0"
"2012","155727053.0"
"2013","157571292.0"
"2014","159405279.0"
"2015","161200886.0"
"2016","162951560.0"
