"Year","Value"
"1960","9153489.0"
"1961","9183948.0"
"1962","9220578.0"
"1963","9289770.0"
"1964","9378113.0"
"1965","9463667.0"
"1966","9527807.0"
"1967","9580991.0"
"1968","9618756.0"
"1969","9646032.0"
"1970","9655549.0"
"1971","9673162.0"
"1972","9711115.0"
"1973","9741720.0"
"1974","9772419.0"
"1975","9800700.0"
"1976","9818227.0"
"1977","9830358.0"
"1978","9839534.0"
"1979","9848382.0"
"1980","9859242.0"
"1981","9858982.0"
"1982","9856303.0"
"1983","9855520.0"
"1984","9855372.0"
"1985","9858308.0"
"1986","9861823.0"
"1987","9870234.0"
"1988","9901664.0"
"1989","9937697.0"
"1990","9967379.0"
"1991","10004486.0"
"1992","10045158.0"
"1993","10084475.0"
"1994","10115603.0"
"1995","10136811.0"
"1996","10156637.0"
"1997","10181245.0"
"1998","10203008.0"
"1999","10226419.0"
"2000","10251250.0"
"2001","10286570.0"
"2002","10332785.0"
"2003","10376133.0"
"2004","10421137.0"
"2005","10478617.0"
"2006","10547958.0"
"2007","10625700.0"
"2008","10709973.0"
"2009","10796493.0"
"2010","10895586.0"
"2011","11047744.0"
"2012","11128246.0"
"2013","11182817.0"
"2014","11209057.0"
"2015","11274196.0"
"2016","11348159.0"
