"Country Name","Country Code","Year","Value"
"Belize","BLZ","1960","92064"
"Belize","BLZ","1961","94703"
"Belize","BLZ","1962","97384"
"Belize","BLZ","1963","100164"
"Belize","BLZ","1964","103069"
"Belize","BLZ","1965","106119"
"Belize","BLZ","1966","109347"
"Belize","BLZ","1967","112692"
"Belize","BLZ","1968","116061"
"Belize","BLZ","1969","119261"
"Belize","BLZ","1970","122182"
"Belize","BLZ","1971","124793"
"Belize","BLZ","1972","127150"
"Belize","BLZ","1973","129294"
"Belize","BLZ","1974","131307"
"Belize","BLZ","1975","133260"
"Belize","BLZ","1976","135147"
"Belize","BLZ","1977","136989"
"Belize","BLZ","1978","138965"
"Belize","BLZ","1979","141305"
"Belize","BLZ","1980","144155"
"Belize","BLZ","1981","147566"
"Belize","BLZ","1982","151500"
"Belize","BLZ","1983","155822"
"Belize","BLZ","1984","160347"
"Belize","BLZ","1985","164921"
"Belize","BLZ","1986","169568"
"Belize","BLZ","1987","174320"
"Belize","BLZ","1988","179028"
"Belize","BLZ","1989","183469"
"Belize","BLZ","1990","187552"
"Belize","BLZ","1991","191126"
"Belize","BLZ","1992","194317"
"Belize","BLZ","1993","197616"
"Belize","BLZ","1994","201674"
"Belize","BLZ","1995","206963"
"Belize","BLZ","1996","213676"
"Belize","BLZ","1997","221606"
"Belize","BLZ","1998","230284"
"Belize","BLZ","1999","239026"
"Belize","BLZ","2000","247315"
"Belize","BLZ","2001","254984"
"Belize","BLZ","2002","262206"
"Belize","BLZ","2003","269130"
"Belize","BLZ","2004","276089"
"Belize","BLZ","2005","283277"
"Belize","BLZ","2006","290747"
"Belize","BLZ","2007","298407"
"Belize","BLZ","2008","306165"
"Belize","BLZ","2009","313929"
"Belize","BLZ","2010","321608"
"Belize","BLZ","2011","329192"
"Belize","BLZ","2012","336701"
"Belize","BLZ","2013","344181"
"Belize","BLZ","2014","351694"
"Belize","BLZ","2015","359288"
"Belize","BLZ","2016","366954"
