"Country Name","Country Code","Year","Value"
"Benin","BEN","1960","2431622"
"Benin","BEN","1961","2465867"
"Benin","BEN","1962","2502896"
"Benin","BEN","1963","2542859"
"Benin","BEN","1964","2585965"
"Benin","BEN","1965","2632356"
"Benin","BEN","1966","2682159"
"Benin","BEN","1967","2735307"
"Benin","BEN","1968","2791590"
"Benin","BEN","1969","2850661"
"Benin","BEN","1970","2912340"
"Benin","BEN","1971","2976572"
"Benin","BEN","1972","3043567"
"Benin","BEN","1973","3113675"
"Benin","BEN","1974","3187412"
"Benin","BEN","1975","3265165"
"Benin","BEN","1976","3347173"
"Benin","BEN","1977","3433439"
"Benin","BEN","1978","3523938"
"Benin","BEN","1979","3618526"
"Benin","BEN","1980","3717165"
"Benin","BEN","1981","3820128"
"Benin","BEN","1982","3927714"
"Benin","BEN","1983","4039949"
"Benin","BEN","1984","4156819"
"Benin","BEN","1985","4278501"
"Benin","BEN","1986","4404506"
"Benin","BEN","1987","4535263"
"Benin","BEN","1988","4672852"
"Benin","BEN","1989","4820016"
"Benin","BEN","1990","4978496"
"Benin","BEN","1991","5149499"
"Benin","BEN","1992","5331803"
"Benin","BEN","1993","5521763"
"Benin","BEN","1994","5714220"
"Benin","BEN","1995","5905558"
"Benin","BEN","1996","6094259"
"Benin","BEN","1997","6281639"
"Benin","BEN","1998","6470265"
"Benin","BEN","1999","6664098"
"Benin","BEN","2000","6865951"
"Benin","BEN","2001","7076733"
"Benin","BEN","2002","7295394"
"Benin","BEN","2003","7520555"
"Benin","BEN","2004","7750004"
"Benin","BEN","2005","7982225"
"Benin","BEN","2006","8216896"
"Benin","BEN","2007","8454791"
"Benin","BEN","2008","8696916"
"Benin","BEN","2009","8944706"
"Benin","BEN","2010","9199259"
"Benin","BEN","2011","9460802"
"Benin","BEN","2012","9729160"
"Benin","BEN","2013","10004451"
"Benin","BEN","2014","10286712"
"Benin","BEN","2015","10575952"
"Benin","BEN","2016","10872298"
