"Year","Value"
"1960","44400.0"
"1961","45500.0"
"1962","46600.0"
"1963","47700.0"
"1964","48900.0"
"1965","50100.0"
"1966","51000.0"
"1967","52000.0"
"1968","53000.0"
"1969","54000.0"
"1970","55000.0"
"1971","54600.0"
"1972","54200.0"
"1973","53800.0"
"1974","53400.0"
"1975","53000.0"
"1976","53200.0"
"1977","53400.0"
"1978","53600.0"
"1979","53800.0"
"1980","54670.0"
"1981","55050.0"
"1982","55449.0"
"1983","55930.0"
"1984","56423.0"
"1985","56898.0"
"1986","57382.0"
"1987","57849.0"
"1988","58347.0"
"1989","58841.0"
"1990","59326.0"
"1991","59021.0"
"1992","58595.0"
"1993","58910.0"
"1994","59320.0"
"1995","59746.0"
"1996","60129.0"
"1997","60497.0"
"1998","60943.0"
"1999","61285.0"
"2000","61833.0"
"2001","62504.0"
"2002","62912.0"
"2003","63325.0"
"2004","63740.0"
"2005","64154.0"
"2006","64523.0"
"2007","64888.0"
"2008","65273.0"
"2009","65636.0"
"2010","65124.0"
"2011","64564.0"
"2012","64798.0"
"2013","65001.0"
"2014","65139.0"
"2015","65235.0"
"2016","65331.0"
