"Country Name","Country Code","Year","Value"
"Bhutan","BTN","1960","223288"
"Bhutan","BTN","1961","228918"
"Bhutan","BTN","1962","234706"
"Bhutan","BTN","1963","240778"
"Bhutan","BTN","1964","247325"
"Bhutan","BTN","1965","254464"
"Bhutan","BTN","1966","262244"
"Bhutan","BTN","1967","270622"
"Bhutan","BTN","1968","279515"
"Bhutan","BTN","1969","288774"
"Bhutan","BTN","1970","298301"
"Bhutan","BTN","1971","308053"
"Bhutan","BTN","1972","318045"
"Bhutan","BTN","1973","328312"
"Bhutan","BTN","1974","338943"
"Bhutan","BTN","1975","349982"
"Bhutan","BTN","1976","361455"
"Bhutan","BTN","1977","373324"
"Bhutan","BTN","1978","385384"
"Bhutan","BTN","1979","397390"
"Bhutan","BTN","1980","409172"
"Bhutan","BTN","1981","420380"
"Bhutan","BTN","1982","431050"
"Bhutan","BTN","1983","441847"
"Bhutan","BTN","1984","453720"
"Bhutan","BTN","1985","467178"
"Bhutan","BTN","1986","482952"
"Bhutan","BTN","1987","500437"
"Bhutan","BTN","1988","517273"
"Bhutan","BTN","1989","530257"
"Bhutan","BTN","1990","537280"
"Bhutan","BTN","1991","537284"
"Bhutan","BTN","1992","531525"
"Bhutan","BTN","1993","523117"
"Bhutan","BTN","1994","516503"
"Bhutan","BTN","1995","514877"
"Bhutan","BTN","1996","519282"
"Bhutan","BTN","1997","528754"
"Bhutan","BTN","1998","542155"
"Bhutan","BTN","1999","557543"
"Bhutan","BTN","2000","573416"
"Bhutan","BTN","2001","589600"
"Bhutan","BTN","2002","606399"
"Bhutan","BTN","2003","623434"
"Bhutan","BTN","2004","640282"
"Bhutan","BTN","2005","656639"
"Bhutan","BTN","2006","672228"
"Bhutan","BTN","2007","686958"
"Bhutan","BTN","2008","700950"
"Bhutan","BTN","2009","714458"
"Bhutan","BTN","2010","727641"
"Bhutan","BTN","2011","740510"
"Bhutan","BTN","2012","752967"
"Bhutan","BTN","2013","764961"
"Bhutan","BTN","2014","776448"
"Bhutan","BTN","2015","787386"
"Bhutan","BTN","2016","797765"
