"Year","Value"
"1960","3225668.0"
"1961","3288602.0"
"1962","3353226.0"
"1963","3417574.0"
"1964","3478995.0"
"1965","3535640.0"
"1966","3586634.0"
"1967","3632669.0"
"1968","3675452.0"
"1969","3717466.0"
"1970","3760527.0"
"1971","3805285.0"
"1972","3851151.0"
"1973","3897255.0"
"1974","3942223.0"
"1975","3985103.0"
"1976","4025265.0"
"1977","4063191.0"
"1978","4100350.0"
"1979","4138819.0"
"1980","4179855.0"
"1981","4222511.0"
"1982","4265310.0"
"1983","4308106.0"
"1984","4350746.0"
"1985","4392130.0"
"1986","4435504.0"
"1987","4478519.0"
"1988","4508056.0"
"1989","4506653.0"
"1990","4463422.0"
"1991","4371603.0"
"1992","4239154.0"
"1993","4087999.0"
"1994","3948816.0"
"1995","3843712.0"
"1996","3780378.0"
"1997","3752431.0"
"1998","3750485.0"
"1999","3759118.0"
"2000","3766706.0"
"2001","3771284.0"
"2002","3775807.0"
"2003","3779247.0"
"2004","3781287.0"
"2005","3781530.0"
"2006","3779468.0"
"2007","3774000.0"
"2008","3763599.0"
"2009","3746561.0"
"2010","3722084.0"
"2011","3688865.0"
"2012","3648200.0"
"2013","3604999.0"
"2014","3566002.0"
"2015","3535961.0"
"2016","3516816.0"
