"Year","Value"
"1960","8033.0"
"1961","8155.0"
"1962","8298.0"
"1963","8452.0"
"1964","8627.0"
"1965","8814.0"
"1966","9007.0"
"1967","9218.0"
"1968","9424.0"
"1969","9621.0"
"1970","9803.0"
"1971","9970.0"
"1972","10125.0"
"1973","10264.0"
"1974","10379.0"
"1975","10476.0"
"1976","10543.0"
"1977","10591.0"
"1978","10662.0"
"1979","10792.0"
"1980","11002.0"
"1981","11315.0"
"1982","11712.0"
"1983","12188.0"
"1984","12731.0"
"1985","13304.0"
"1986","13938.0"
"1987","14589.0"
"1988","15266.0"
"1989","15900.0"
"1990","16461.0"
"1991","16934.0"
"1992","17344.0"
"1993","17703.0"
"1994","18052.0"
"1995","18427.0"
"1996","18833.0"
"1997","19270.0"
"1998","19722.0"
"1999","20188.0"
"2000","20645.0"
"2001","21085.0"
"2002","21529.0"
"2003","22000.0"
"2004","22541.0"
"2005","23168.0"
"2006","23905.0"
"2007","24731.0"
"2008","25604.0"
"2009","26447.0"
"2010","27224.0"
"2011","27901.0"
"2012","28509.0"
"2013","29056.0"
"2014","29588.0"
"2015","30113.0"
"2016","30661.0"
