"Country Name","Country Code","Year","Value"
"Bulgaria","BGR","1960","7867374"
"Bulgaria","BGR","1961","7943118"
"Bulgaria","BGR","1962","8012946"
"Bulgaria","BGR","1963","8078145"
"Bulgaria","BGR","1964","8144340"
"Bulgaria","BGR","1965","8204168"
"Bulgaria","BGR","1966","8258057"
"Bulgaria","BGR","1967","8310226"
"Bulgaria","BGR","1968","8369603"
"Bulgaria","BGR","1969","8434172"
"Bulgaria","BGR","1970","8489574"
"Bulgaria","BGR","1971","8536395"
"Bulgaria","BGR","1972","8576200"
"Bulgaria","BGR","1973","8620967"
"Bulgaria","BGR","1974","8678745"
"Bulgaria","BGR","1975","8720742"
"Bulgaria","BGR","1976","8758599"
"Bulgaria","BGR","1977","8804183"
"Bulgaria","BGR","1978","8814032"
"Bulgaria","BGR","1979","8825940"
"Bulgaria","BGR","1980","8861535"
"Bulgaria","BGR","1981","8891117"
"Bulgaria","BGR","1982","8917457"
"Bulgaria","BGR","1983","8939738"
"Bulgaria","BGR","1984","8960679"
"Bulgaria","BGR","1985","8960547"
"Bulgaria","BGR","1986","8958171"
"Bulgaria","BGR","1987","8971359"
"Bulgaria","BGR","1988","8981446"
"Bulgaria","BGR","1989","8876972"
"Bulgaria","BGR","1990","8718289"
"Bulgaria","BGR","1991","8632367"
"Bulgaria","BGR","1992","8540164"
"Bulgaria","BGR","1993","8472313"
"Bulgaria","BGR","1994","8443591"
"Bulgaria","BGR","1995","8406067"
"Bulgaria","BGR","1996","8362826"
"Bulgaria","BGR","1997","8312068"
"Bulgaria","BGR","1998","8256786"
"Bulgaria","BGR","1999","8210624"
"Bulgaria","BGR","2000","8170172"
"Bulgaria","BGR","2001","8009142"
"Bulgaria","BGR","2002","7837161"
"Bulgaria","BGR","2003","7775327"
"Bulgaria","BGR","2004","7716860"
"Bulgaria","BGR","2005","7658972"
"Bulgaria","BGR","2006","7601022"
"Bulgaria","BGR","2007","7545338"
"Bulgaria","BGR","2008","7492561"
"Bulgaria","BGR","2009","7444443"
"Bulgaria","BGR","2010","7395599"
"Bulgaria","BGR","2011","7348328"
"Bulgaria","BGR","2012","7305888"
"Bulgaria","BGR","2013","7265115"
"Bulgaria","BGR","2014","7223938"
"Bulgaria","BGR","2015","7177991"
"Bulgaria","BGR","2016","7127822"
