"Country Name","Country Code","Year","Value"
"Cambodia","KHM","1960","5722370"
"Cambodia","KHM","1961","5873015"
"Cambodia","KHM","1962","6028551"
"Cambodia","KHM","1963","6183747"
"Cambodia","KHM","1964","6331583"
"Cambodia","KHM","1965","6467197"
"Cambodia","KHM","1966","6584766"
"Cambodia","KHM","1967","6685321"
"Cambodia","KHM","1968","6778723"
"Cambodia","KHM","1969","6879184"
"Cambodia","KHM","1970","6994848"
"Cambodia","KHM","1971","7137749"
"Cambodia","KHM","1972","7300152"
"Cambodia","KHM","1973","7447285"
"Cambodia","KHM","1974","7531424"
"Cambodia","KHM","1975","7522593"
"Cambodia","KHM","1976","7402873"
"Cambodia","KHM","1977","7194279"
"Cambodia","KHM","1978","6955566"
"Cambodia","KHM","1979","6768724"
"Cambodia","KHM","1980","6692107"
"Cambodia","KHM","1981","6748193"
"Cambodia","KHM","1982","6918101"
"Cambodia","KHM","1983","7168236"
"Cambodia","KHM","1984","7446019"
"Cambodia","KHM","1985","7712978"
"Cambodia","KHM","1986","7958976"
"Cambodia","KHM","1987","8196037"
"Cambodia","KHM","1988","8433798"
"Cambodia","KHM","1989","8689152"
"Cambodia","KHM","1990","8973342"
"Cambodia","KHM","1991","9286976"
"Cambodia","KHM","1992","9621504"
"Cambodia","KHM","1993","9968275"
"Cambodia","KHM","1994","10315376"
"Cambodia","KHM","1995","10653558"
"Cambodia","KHM","1996","10980273"
"Cambodia","KHM","1997","11295880"
"Cambodia","KHM","1998","11597739"
"Cambodia","KHM","1999","11883636"
"Cambodia","KHM","2000","12152354"
"Cambodia","KHM","2001","12402473"
"Cambodia","KHM","2002","12634729"
"Cambodia","KHM","2003","12853124"
"Cambodia","KHM","2004","13063377"
"Cambodia","KHM","2005","13270201"
"Cambodia","KHM","2006","13474489"
"Cambodia","KHM","2007","13676693"
"Cambodia","KHM","2008","13880509"
"Cambodia","KHM","2009","14090208"
"Cambodia","KHM","2010","14308740"
"Cambodia","KHM","2011","14537886"
"Cambodia","KHM","2012","14776866"
"Cambodia","KHM","2013","15022692"
"Cambodia","KHM","2014","15270790"
"Cambodia","KHM","2015","15517635"
"Cambodia","KHM","2016","15762370"
