"Country Name","Country Code","Year","Value"
"Cameroon","CMR","1960","5176268"
"Cameroon","CMR","1961","5285231"
"Cameroon","CMR","1962","5399922"
"Cameroon","CMR","1963","5520332"
"Cameroon","CMR","1964","5646316"
"Cameroon","CMR","1965","5777834"
"Cameroon","CMR","1966","5915123"
"Cameroon","CMR","1967","6058539"
"Cameroon","CMR","1968","6208282"
"Cameroon","CMR","1969","6364569"
"Cameroon","CMR","1970","6527635"
"Cameroon","CMR","1971","6697745"
"Cameroon","CMR","1972","6875228"
"Cameroon","CMR","1973","7060603"
"Cameroon","CMR","1974","7254468"
"Cameroon","CMR","1975","7457362"
"Cameroon","CMR","1976","7669445"
"Cameroon","CMR","1977","7890969"
"Cameroon","CMR","1978","8122529"
"Cameroon","CMR","1979","8364835"
"Cameroon","CMR","1980","8618354"
"Cameroon","CMR","1981","8883016"
"Cameroon","CMR","1982","9158566"
"Cameroon","CMR","1983","9445003"
"Cameroon","CMR","1984","9742263"
"Cameroon","CMR","1985","10050023"
"Cameroon","CMR","1986","10368300"
"Cameroon","CMR","1987","10696274"
"Cameroon","CMR","1988","11031817"
"Cameroon","CMR","1989","11372160"
"Cameroon","CMR","1990","11715218"
"Cameroon","CMR","1991","12060729"
"Cameroon","CMR","1992","12408931"
"Cameroon","CMR","1993","12758881"
"Cameroon","CMR","1994","13109660"
"Cameroon","CMR","1995","13460994"
"Cameroon","CMR","1996","13812472"
"Cameroon","CMR","1997","14165423"
"Cameroon","CMR","1998","14523570"
"Cameroon","CMR","1999","14891891"
"Cameroon","CMR","2000","15274234"
"Cameroon","CMR","2001","15671927"
"Cameroon","CMR","2002","16084886"
"Cameroon","CMR","2003","16513822"
"Cameroon","CMR","2004","16959081"
"Cameroon","CMR","2005","17420795"
"Cameroon","CMR","2006","17899562"
"Cameroon","CMR","2007","18395389"
"Cameroon","CMR","2008","18907008"
"Cameroon","CMR","2009","19432541"
"Cameroon","CMR","2010","19970495"
"Cameroon","CMR","2011","20520447"
"Cameroon","CMR","2012","21082383"
"Cameroon","CMR","2013","21655715"
"Cameroon","CMR","2014","22239904"
"Cameroon","CMR","2015","22834522"
"Cameroon","CMR","2016","23439189"
