"Country Name","Country Code","Year","Value"
"Canada","CAN","1960","17909009"
"Canada","CAN","1961","18271000"
"Canada","CAN","1962","18614000"
"Canada","CAN","1963","18964000"
"Canada","CAN","1964","19325000"
"Canada","CAN","1965","19678000"
"Canada","CAN","1966","20048000"
"Canada","CAN","1967","20412000"
"Canada","CAN","1968","20744000"
"Canada","CAN","1969","21028000"
"Canada","CAN","1970","21324000"
"Canada","CAN","1971","21645535"
"Canada","CAN","1972","21993631"
"Canada","CAN","1973","22369408"
"Canada","CAN","1974","22774087"
"Canada","CAN","1975","23209000"
"Canada","CAN","1976","23518000"
"Canada","CAN","1977","23796000"
"Canada","CAN","1978","24036000"
"Canada","CAN","1979","24277000"
"Canada","CAN","1980","24593000"
"Canada","CAN","1981","24900000"
"Canada","CAN","1982","25202000"
"Canada","CAN","1983","25456000"
"Canada","CAN","1984","25702000"
"Canada","CAN","1985","25942000"
"Canada","CAN","1986","26204000"
"Canada","CAN","1987","26550000"
"Canada","CAN","1988","26895000"
"Canada","CAN","1989","27379000"
"Canada","CAN","1990","27791000"
"Canada","CAN","1991","28171682"
"Canada","CAN","1992","28519597"
"Canada","CAN","1993","28833410"
"Canada","CAN","1994","29111906"
"Canada","CAN","1995","29354000"
"Canada","CAN","1996","29671900"
"Canada","CAN","1997","29987200"
"Canada","CAN","1998","30247900"
"Canada","CAN","1999","30499200"
"Canada","CAN","2000","30769700"
"Canada","CAN","2001","31081900"
"Canada","CAN","2002","31362000"
"Canada","CAN","2003","31676000"
"Canada","CAN","2004","31995000"
"Canada","CAN","2005","32312000"
"Canada","CAN","2006","32570505"
"Canada","CAN","2007","32887928"
"Canada","CAN","2008","33245773"
"Canada","CAN","2009","33628571"
"Canada","CAN","2010","34005274"
"Canada","CAN","2011","34342780"
"Canada","CAN","2012","34750545"
"Canada","CAN","2013","35155451"
"Canada","CAN","2014","35544564"
"Canada","CAN","2015","35848610"
"Canada","CAN","2016","36286425"
