"Year","Value"
"1960","1503508.0"
"1961","1529227.0"
"1962","1556661.0"
"1963","1585763.0"
"1964","1616516.0"
"1965","1648833.0"
"1966","1682885.0"
"1967","1718603.0"
"1968","1755344.0"
"1969","1792220.0"
"1970","1828709.0"
"1971","1864598.0"
"1972","1900317.0"
"1973","1936841.0"
"1974","1975521.0"
"1975","2017372.0"
"1976","2062405.0"
"1977","2110457.0"
"1978","2162249.0"
"1979","2218575.0"
"1980","2279821.0"
"1981","2346797.0"
"1982","2418844.0"
"1983","2493135.0"
"1984","2565803.0"
"1985","2634232.0"
"1986","2696982.0"
"1987","2755244.0"
"1988","2812244.0"
"1989","2872668.0"
"1990","2939780.0"
"1991","3014624.0"
"1992","3095807.0"
"1993","3181222.0"
"1994","3267670.0"
"1995","3352767.0"
"1996","3435821.0"
"1997","3517309.0"
"1998","3597385.0"
"1999","3676508.0"
"2000","3754986.0"
"2001","3832203.0"
"2002","3907612.0"
"2003","3981665.0"
"2004","4055036.0"
"2005","4127910.0"
"2006","4201758.0"
"2007","4275800.0"
"2008","4345386.0"
"2009","4404230.0"
"2010","4448525.0"
"2011","4476153.0"
"2012","4490416.0"
"2013","4499653.0"
"2014","4515392.0"
"2015","4546100.0"
"2016","4594621.0"
