"Year","Value"
"1960","91401583.0"
"1961","92237118.0"
"1962","93014890.0"
"1963","93845749.0"
"1964","94722599.0"
"1965","95447065.0"
"1966","96148635.0"
"1967","97043587.0"
"1968","97882394.0"
"1969","98602140.0"
"1970","99133296.0"
"1971","99638983.0"
"1972","100363597.0"
"1973","101120519.0"
"1974","101946256.0"
"1975","102862489.0"
"1976","103770134.0"
"1977","104589313.0"
"1978","105304312.0"
"1979","105924838.0"
"1980","106564905.0"
"1981","107187982.0"
"1982","107770794.0"
"1983","108326895.0"
"1984","108853181.0"
"1985","109360296.0"
"1986","109847148.0"
"1987","110296680.0"
"1988","110688533.0"
"1989","110801380.0"
"1990","110745760.0"
"1991","110290445.0"
"1992","110005636.0"
"1993","110081461.0"
"1994","110019570.0"
"1995","109913216.0"
"1996","109563097.0"
"1997","109459093.0"
"1998","109207205.0"
"1999","109102354.0"
"2000","108405522.0"
"2001","107800399.0"
"2002","107097577.0"
"2003","106760768.0"
"2004","106466116.0"
"2005","106173766.0"
"2006","105901322.0"
"2007","105504531.0"
"2008","105126686.0"
"2009","104924372.0"
"2010","104543801.0"
"2011","104174038.0"
"2012","103935318.0"
"2013","103713726.0"
"2014","103496179.0"
"2015","103257751.0"
"2016","102974082.0"
