"Country Name","Country Code","Year","Value"
"Channel Islands","CHI","1960","109420"
"Channel Islands","CHI","1961","110399"
"Channel Islands","CHI","1962","111457"
"Channel Islands","CHI","1963","112595"
"Channel Islands","CHI","1964","113773"
"Channel Islands","CHI","1965","114995"
"Channel Islands","CHI","1966","116227"
"Channel Islands","CHI","1967","117474"
"Channel Islands","CHI","1968","118726"
"Channel Islands","CHI","1969","119972"
"Channel Islands","CHI","1970","121197"
"Channel Islands","CHI","1971","122413"
"Channel Islands","CHI","1972","123614"
"Channel Islands","CHI","1973","124725"
"Channel Islands","CHI","1974","125682"
"Channel Islands","CHI","1975","126415"
"Channel Islands","CHI","1976","126902"
"Channel Islands","CHI","1977","127183"
"Channel Islands","CHI","1978","127390"
"Channel Islands","CHI","1979","127692"
"Channel Islands","CHI","1980","128212"
"Channel Islands","CHI","1981","128981"
"Channel Islands","CHI","1982","129979"
"Channel Islands","CHI","1983","131156"
"Channel Islands","CHI","1984","132453"
"Channel Islands","CHI","1985","133808"
"Channel Islands","CHI","1986","135230"
"Channel Islands","CHI","1987","136716"
"Channel Islands","CHI","1988","138187"
"Channel Islands","CHI","1989","139530"
"Channel Islands","CHI","1990","140671"
"Channel Islands","CHI","1991","141568"
"Channel Islands","CHI","1992","142258"
"Channel Islands","CHI","1993","142819"
"Channel Islands","CHI","1994","143384"
"Channel Islands","CHI","1995","144046"
"Channel Islands","CHI","1996","144829"
"Channel Islands","CHI","1997","145715"
"Channel Islands","CHI","1998","146671"
"Channel Islands","CHI","1999","147687"
"Channel Islands","CHI","2000","148725"
"Channel Islands","CHI","2001","149793"
"Channel Islands","CHI","2002","150901"
"Channel Islands","CHI","2003","152038"
"Channel Islands","CHI","2004","153170"
"Channel Islands","CHI","2005","154294"
"Channel Islands","CHI","2006","155411"
"Channel Islands","CHI","2007","156513"
"Channel Islands","CHI","2008","157581"
"Channel Islands","CHI","2009","158603"
"Channel Islands","CHI","2010","159581"
"Channel Islands","CHI","2011","160497"
"Channel Islands","CHI","2012","161358"
"Channel Islands","CHI","2013","162180"
"Channel Islands","CHI","2014","162969"
"Channel Islands","CHI","2015","163758"
"Channel Islands","CHI","2016","164541"
