"Year","Value"
"1960","16480383.0"
"1961","16982315.0"
"1962","17500171.0"
"1963","18033550.0"
"1964","18581974.0"
"1965","19144223.0"
"1966","19721462.0"
"1967","20311371.0"
"1968","20905059.0"
"1969","21490945.0"
"1970","22061215.0"
"1971","22611986.0"
"1972","23146803.0"
"1973","23674504.0"
"1974","24208021.0"
"1975","24756973.0"
"1976","25323406.0"
"1977","25905127.0"
"1978","26502166.0"
"1979","27113512.0"
"1980","27737900.0"
"1981","28375991.0"
"1982","29027162.0"
"1983","29687094.0"
"1984","30350086.0"
"1985","31011688.0"
"1986","31669776.0"
"1987","32324325.0"
"1988","32975535.0"
"1989","33624444.0"
"1990","34271565.0"
"1991","34916766.0"
"1992","35558682.0"
"1993","36195168.0"
"1994","36823537.0"
"1995","37441977.0"
"1996","38049038.0"
"1997","38645411.0"
"1998","39234062.0"
"1999","39819279.0"
"2000","40403958.0"
"2001","40988909.0"
"2002","41572491.0"
"2003","42152151.0"
"2004","42724163.0"
"2005","43285634.0"
"2006","43835722.0"
"2007","44374572.0"
"2008","44901544.0"
"2009","45416181.0"
"2010","45918097.0"
"2011","46406646.0"
"2012","46881475.0"
"2013","47342981.0"
"2014","47791911.0"
"2015","48228697.0"
"2016","48653419.0"
