"Year","Value"
"1960","191121.0"
"1961","194139.0"
"1962","197198.0"
"1963","200372.0"
"1964","203753.0"
"1965","207424.0"
"1966","211478.0"
"1967","215897.0"
"1968","220575.0"
"1969","225325.0"
"1970","230054.0"
"1971","234644.0"
"1972","239235.0"
"1973","244208.0"
"1974","250104.0"
"1975","257290.0"
"1976","265953.0"
"1977","275900.0"
"1978","286634.0"
"1979","297447.0"
"1980","307829.0"
"1981","317606.0"
"1982","326946.0"
"1983","336096.0"
"1984","345466.0"
"1985","355337.0"
"1986","365760.0"
"1987","376654.0"
"1988","387963.0"
"1989","399632.0"
"1990","411594.0"
"1991","423872.0"
"1992","436448.0"
"1993","449274.0"
"1994","462277.0"
"1995","475394.0"
"1996","488627.0"
"1997","501953.0"
"1998","515385.0"
"1999","528848.0"
"2000","542357.0"
"2001","555888.0"
"2002","569479.0"
"2003","583211.0"
"2004","597228.0"
"2005","611627.0"
"2006","626425.0"
"2007","641620.0"
"2008","657229.0"
"2009","673252.0"
"2010","689692.0"
"2011","706569.0"
"2012","723868.0"
"2013","741500.0"
"2014","759385.0"
"2015","777424.0"
"2016","795601.0"
