"Country Name","Country Code","Year","Value"
"Congo, Dem. Rep.","COD","1960","15248251"
"Congo, Dem. Rep.","COD","1961","15637733"
"Congo, Dem. Rep.","COD","1962","16041263"
"Congo, Dem. Rep.","COD","1963","16461930"
"Congo, Dem. Rep.","COD","1964","16903923"
"Congo, Dem. Rep.","COD","1965","17369883"
"Congo, Dem. Rep.","COD","1966","17861881"
"Congo, Dem. Rep.","COD","1967","18378214"
"Congo, Dem. Rep.","COD","1968","18913203"
"Congo, Dem. Rep.","COD","1969","19458904"
"Congo, Dem. Rep.","COD","1970","20009935"
"Congo, Dem. Rep.","COD","1971","20562865"
"Congo, Dem. Rep.","COD","1972","21120140"
"Congo, Dem. Rep.","COD","1973","21689239"
"Congo, Dem. Rep.","COD","1974","22280923"
"Congo, Dem. Rep.","COD","1975","22902319"
"Congo, Dem. Rep.","COD","1976","23559071"
"Congo, Dem. Rep.","COD","1977","24247550"
"Congo, Dem. Rep.","COD","1978","24954655"
"Congo, Dem. Rep.","COD","1979","25661884"
"Congo, Dem. Rep.","COD","1980","26357462"
"Congo, Dem. Rep.","COD","1981","27039468"
"Congo, Dem. Rep.","COD","1982","27717337"
"Congo, Dem. Rep.","COD","1983","28404876"
"Congo, Dem. Rep.","COD","1984","29121474"
"Congo, Dem. Rep.","COD","1985","29883446"
"Congo, Dem. Rep.","COD","1986","30685824"
"Congo, Dem. Rep.","COD","1987","31529823"
"Congo, Dem. Rep.","COD","1988","32444156"
"Congo, Dem. Rep.","COD","1989","33465441"
"Congo, Dem. Rep.","COD","1990","34614581"
"Congo, Dem. Rep.","COD","1991","35914825"
"Congo, Dem. Rep.","COD","1992","37346147"
"Congo, Dem. Rep.","COD","1993","38833595"
"Congo, Dem. Rep.","COD","1994","40273701"
"Congo, Dem. Rep.","COD","1995","41595744"
"Congo, Dem. Rep.","COD","1996","42770544"
"Congo, Dem. Rep.","COD","1997","43830146"
"Congo, Dem. Rep.","COD","1998","44840529"
"Congo, Dem. Rep.","COD","1999","45898667"
"Congo, Dem. Rep.","COD","2000","47076387"
"Congo, Dem. Rep.","COD","2001","48394338"
"Congo, Dem. Rep.","COD","2002","49835756"
"Congo, Dem. Rep.","COD","2003","51390033"
"Congo, Dem. Rep.","COD","2004","53034217"
"Congo, Dem. Rep.","COD","2005","54751476"
"Congo, Dem. Rep.","COD","2006","56543011"
"Congo, Dem. Rep.","COD","2007","58417562"
"Congo, Dem. Rep.","COD","2008","60373608"
"Congo, Dem. Rep.","COD","2009","62409435"
"Congo, Dem. Rep.","COD","2010","64523263"
"Congo, Dem. Rep.","COD","2011","66713597"
"Congo, Dem. Rep.","COD","2012","68978682"
"Congo, Dem. Rep.","COD","2013","71316033"
"Congo, Dem. Rep.","COD","2014","73722860"
"Congo, Dem. Rep.","COD","2015","76196619"
"Congo, Dem. Rep.","COD","2016","78736153"
