"Country Name","Country Code","Year","Value"
"Costa Rica","CRI","1960","1333040"
"Costa Rica","CRI","1961","1381917"
"Costa Rica","CRI","1962","1432585"
"Costa Rica","CRI","1963","1484510"
"Costa Rica","CRI","1964","1537041"
"Costa Rica","CRI","1965","1589621"
"Costa Rica","CRI","1966","1642186"
"Costa Rica","CRI","1967","1694710"
"Costa Rica","CRI","1968","1746869"
"Costa Rica","CRI","1969","1798311"
"Costa Rica","CRI","1970","1848866"
"Costa Rica","CRI","1971","1898360"
"Costa Rica","CRI","1972","1947048"
"Costa Rica","CRI","1973","1995743"
"Costa Rica","CRI","1974","2045580"
"Costa Rica","CRI","1975","2097407"
"Costa Rica","CRI","1976","2151497"
"Costa Rica","CRI","1977","2207725"
"Costa Rica","CRI","1978","2266154"
"Costa Rica","CRI","1979","2326704"
"Costa Rica","CRI","1980","2389310"
"Costa Rica","CRI","1981","2454129"
"Costa Rica","CRI","1982","2521168"
"Costa Rica","CRI","1983","2589930"
"Costa Rica","CRI","1984","2659781"
"Costa Rica","CRI","1985","2730233"
"Costa Rica","CRI","1986","2800986"
"Costa Rica","CRI","1987","2872211"
"Costa Rica","CRI","1988","2944557"
"Costa Rica","CRI","1989","3018955"
"Costa Rica","CRI","1990","3095995"
"Costa Rica","CRI","1991","3175649"
"Costa Rica","CRI","1992","3257466"
"Costa Rica","CRI","1993","3341004"
"Costa Rica","CRI","1994","3425690"
"Costa Rica","CRI","1995","3510926"
"Costa Rica","CRI","1996","3596732"
"Costa Rica","CRI","1997","3682725"
"Costa Rica","CRI","1998","3767373"
"Costa Rica","CRI","1999","3848723"
"Costa Rica","CRI","2000","3925443"
"Costa Rica","CRI","2001","3996798"
"Costa Rica","CRI","2002","4063204"
"Costa Rica","CRI","2003","4125971"
"Costa Rica","CRI","2004","4187038"
"Costa Rica","CRI","2005","4247841"
"Costa Rica","CRI","2006","4308794"
"Costa Rica","CRI","2007","4369469"
"Costa Rica","CRI","2008","4429508"
"Costa Rica","CRI","2009","4488263"
"Costa Rica","CRI","2010","4545280"
"Costa Rica","CRI","2011","4600474"
"Costa Rica","CRI","2012","4654122"
"Costa Rica","CRI","2013","4706401"
"Costa Rica","CRI","2014","4757575"
"Costa Rica","CRI","2015","4807852"
"Costa Rica","CRI","2016","4857274"
