"Country Name","Country Code","Year","Value"
"Cote d'Ivoire","CIV","1960","3558988"
"Cote d'Ivoire","CIV","1961","3694205"
"Cote d'Ivoire","CIV","1962","3841071"
"Cote d'Ivoire","CIV","1963","3996941"
"Cote d'Ivoire","CIV","1964","4157965"
"Cote d'Ivoire","CIV","1965","4321791"
"Cote d'Ivoire","CIV","1966","4487204"
"Cote d'Ivoire","CIV","1967","4656353"
"Cote d'Ivoire","CIV","1968","4834279"
"Cote d'Ivoire","CIV","1969","5027971"
"Cote d'Ivoire","CIV","1970","5242395"
"Cote d'Ivoire","CIV","1971","5479338"
"Cote d'Ivoire","CIV","1972","5737281"
"Cote d'Ivoire","CIV","1973","6013862"
"Cote d'Ivoire","CIV","1974","6305287"
"Cote d'Ivoire","CIV","1975","6608609"
"Cote d'Ivoire","CIV","1976","6922982"
"Cote d'Ivoire","CIV","1977","7248828"
"Cote d'Ivoire","CIV","1978","7585914"
"Cote d'Ivoire","CIV","1979","7934279"
"Cote d'Ivoire","CIV","1980","8293675"
"Cote d'Ivoire","CIV","1981","8664057"
"Cote d'Ivoire","CIV","1982","9044473"
"Cote d'Ivoire","CIV","1983","9432731"
"Cote d'Ivoire","CIV","1984","9826055"
"Cote d'Ivoire","CIV","1985","10222558"
"Cote d'Ivoire","CIV","1986","10620267"
"Cote d'Ivoire","CIV","1987","11019651"
"Cote d'Ivoire","CIV","1988","11424260"
"Cote d'Ivoire","CIV","1989","11839243"
"Cote d'Ivoire","CIV","1990","12267754"
"Cote d'Ivoire","CIV","1991","12710008"
"Cote d'Ivoire","CIV","1992","13163019"
"Cote d'Ivoire","CIV","1993","13622731"
"Cote d'Ivoire","CIV","1994","14083611"
"Cote d'Ivoire","CIV","1995","14540820"
"Cote d'Ivoire","CIV","1996","14995249"
"Cote d'Ivoire","CIV","1997","15445986"
"Cote d'Ivoire","CIV","1998","15884552"
"Cote d'Ivoire","CIV","1999","16300233"
"Cote d'Ivoire","CIV","2000","16686561"
"Cote d'Ivoire","CIV","2001","17040152"
"Cote d'Ivoire","CIV","2002","17366517"
"Cote d'Ivoire","CIV","2003","17679355"
"Cote d'Ivoire","CIV","2004","17997738"
"Cote d'Ivoire","CIV","2005","18336303"
"Cote d'Ivoire","CIV","2006","18699435"
"Cote d'Ivoire","CIV","2007","19085941"
"Cote d'Ivoire","CIV","2008","19497986"
"Cote d'Ivoire","CIV","2009","19936366"
"Cote d'Ivoire","CIV","2010","20401331"
"Cote d'Ivoire","CIV","2011","20895311"
"Cote d'Ivoire","CIV","2012","21418603"
"Cote d'Ivoire","CIV","2013","21966312"
"Cote d'Ivoire","CIV","2014","22531350"
"Cote d'Ivoire","CIV","2015","23108472"
"Cote d'Ivoire","CIV","2016","23695919"
