"Country Name","Country Code","Year","Value"
"Croatia","HRV","1960","4140000"
"Croatia","HRV","1961","4171672"
"Croatia","HRV","1962","4202104"
"Croatia","HRV","1963","4231408"
"Croatia","HRV","1964","4259680"
"Croatia","HRV","1965","4287000"
"Croatia","HRV","1966","4313000"
"Croatia","HRV","1967","4339000"
"Croatia","HRV","1968","4364000"
"Croatia","HRV","1969","4387000"
"Croatia","HRV","1970","4411000"
"Croatia","HRV","1971","4435000"
"Croatia","HRV","1972","4457000"
"Croatia","HRV","1973","4478000"
"Croatia","HRV","1974","4497000"
"Croatia","HRV","1975","4514000"
"Croatia","HRV","1976","4530000"
"Croatia","HRV","1977","4532000"
"Croatia","HRV","1978","4556000"
"Croatia","HRV","1979","4571000"
"Croatia","HRV","1980","4588000"
"Croatia","HRV","1981","4608000"
"Croatia","HRV","1982","4635000"
"Croatia","HRV","1983","4659000"
"Croatia","HRV","1984","4680000"
"Croatia","HRV","1985","4701000"
"Croatia","HRV","1986","4722000"
"Croatia","HRV","1987","4740000"
"Croatia","HRV","1988","4757000"
"Croatia","HRV","1989","4767000"
"Croatia","HRV","1990","4780000"
"Croatia","HRV","1991","4510000"
"Croatia","HRV","1992","4470000"
"Croatia","HRV","1993","4640000"
"Croatia","HRV","1994","4650000"
"Croatia","HRV","1995","4669000"
"Croatia","HRV","1996","4494000"
"Croatia","HRV","1997","4572000"
"Croatia","HRV","1998","4501000"
"Croatia","HRV","1999","4554000"
"Croatia","HRV","2000","4426000"
"Croatia","HRV","2001","4440000"
"Croatia","HRV","2002","4440000"
"Croatia","HRV","2003","4440000"
"Croatia","HRV","2004","4439000"
"Croatia","HRV","2005","4442000"
"Croatia","HRV","2006","4440000"
"Croatia","HRV","2007","4436000"
"Croatia","HRV","2008","4434508"
"Croatia","HRV","2009","4429078"
"Croatia","HRV","2010","4417781"
"Croatia","HRV","2011","4280622"
"Croatia","HRV","2012","4267558"
"Croatia","HRV","2013","4255689"
"Croatia","HRV","2014","4238389"
"Croatia","HRV","2015","4203604"
"Croatia","HRV","2016","4170600"
