"Country Name","Country Code","Year","Value"
"Cuba","CUB","1960","7141135"
"Cuba","CUB","1961","7289826"
"Cuba","CUB","1962","7450402"
"Cuba","CUB","1963","7618354"
"Cuba","CUB","1964","7787146"
"Cuba","CUB","1965","7951933"
"Cuba","CUB","1966","8110430"
"Cuba","CUB","1967","8263546"
"Cuba","CUB","1968","8413327"
"Cuba","CUB","1969","8563193"
"Cuba","CUB","1970","8715123"
"Cuba","CUB","1971","8869961"
"Cuba","CUB","1972","9025300"
"Cuba","CUB","1973","9176052"
"Cuba","CUB","1974","9315373"
"Cuba","CUB","1975","9438442"
"Cuba","CUB","1976","9544271"
"Cuba","CUB","1977","9634680"
"Cuba","CUB","1978","9711392"
"Cuba","CUB","1979","9777290"
"Cuba","CUB","1980","9835177"
"Cuba","CUB","1981","9884213"
"Cuba","CUB","1982","9925623"
"Cuba","CUB","1983","9966733"
"Cuba","CUB","1984","10017059"
"Cuba","CUB","1985","10082989"
"Cuba","CUB","1986","10168087"
"Cuba","CUB","1987","10269567"
"Cuba","CUB","1988","10379548"
"Cuba","CUB","1989","10486509"
"Cuba","CUB","1990","10582081"
"Cuba","CUB","1991","10663585"
"Cuba","CUB","1992","10733363"
"Cuba","CUB","1993","10794135"
"Cuba","CUB","1994","10850585"
"Cuba","CUB","1995","10906043"
"Cuba","CUB","1996","10961012"
"Cuba","CUB","1997","11013983"
"Cuba","CUB","1998","11064097"
"Cuba","CUB","1999","11110004"
"Cuba","CUB","2000","11150736"
"Cuba","CUB","2001","11186542"
"Cuba","CUB","2002","11217998"
"Cuba","CUB","2003","11244885"
"Cuba","CUB","2004","11266941"
"Cuba","CUB","2005","11284253"
"Cuba","CUB","2006","11296233"
"Cuba","CUB","2007","11303687"
"Cuba","CUB","2008","11309754"
"Cuba","CUB","2009","11318602"
"Cuba","CUB","2010","11333051"
"Cuba","CUB","2011","11354651"
"Cuba","CUB","2012","11382146"
"Cuba","CUB","2013","11412167"
"Cuba","CUB","2014","11439767"
"Cuba","CUB","2015","11461432"
"Cuba","CUB","2016","11475982"
