"Country Name","Country Code","Year","Value"
"Cyprus","CYP","1960","572930"
"Cyprus","CYP","1961","576395"
"Cyprus","CYP","1962","577691"
"Cyprus","CYP","1963","577913"
"Cyprus","CYP","1964","578627"
"Cyprus","CYP","1965","580966"
"Cyprus","CYP","1966","585308"
"Cyprus","CYP","1967","591308"
"Cyprus","CYP","1968","598493"
"Cyprus","CYP","1969","606113"
"Cyprus","CYP","1970","613621"
"Cyprus","CYP","1971","620859"
"Cyprus","CYP","1972","628002"
"Cyprus","CYP","1973","635111"
"Cyprus","CYP","1974","642339"
"Cyprus","CYP","1975","649755"
"Cyprus","CYP","1976","657534"
"Cyprus","CYP","1977","665528"
"Cyprus","CYP","1978","673251"
"Cyprus","CYP","1979","680011"
"Cyprus","CYP","1980","685406"
"Cyprus","CYP","1981","689173"
"Cyprus","CYP","1982","691702"
"Cyprus","CYP","1983","694077"
"Cyprus","CYP","1984","697717"
"Cyprus","CYP","1985","703687"
"Cyprus","CYP","1986","712341"
"Cyprus","CYP","1987","723380"
"Cyprus","CYP","1988","736479"
"Cyprus","CYP","1989","751044"
"Cyprus","CYP","1990","766614"
"Cyprus","CYP","1991","783129"
"Cyprus","CYP","1992","800609"
"Cyprus","CYP","1993","818751"
"Cyprus","CYP","1994","837110"
"Cyprus","CYP","1995","855384"
"Cyprus","CYP","1996","873423"
"Cyprus","CYP","1997","891192"
"Cyprus","CYP","1998","908704"
"Cyprus","CYP","1999","926050"
"Cyprus","CYP","2000","943286"
"Cyprus","CYP","2001","960282"
"Cyprus","CYP","2002","976966"
"Cyprus","CYP","2003","993563"
"Cyprus","CYP","2004","1010410"
"Cyprus","CYP","2005","1027658"
"Cyprus","CYP","2006","1045509"
"Cyprus","CYP","2007","1063712"
"Cyprus","CYP","2008","1081563"
"Cyprus","CYP","2009","1098076"
"Cyprus","CYP","2010","1112607"
"Cyprus","CYP","2011","1124835"
"Cyprus","CYP","2012","1135062"
"Cyprus","CYP","2013","1143896"
"Cyprus","CYP","2014","1152309"
"Cyprus","CYP","2015","1160985"
"Cyprus","CYP","2016","1170125"
