"Country Name","Country Code","Year","Value"
"Czech Republic","CZE","1960","9602006"
"Czech Republic","CZE","1961","9586651"
"Czech Republic","CZE","1962","9624660"
"Czech Republic","CZE","1963","9670685"
"Czech Republic","CZE","1964","9727804"
"Czech Republic","CZE","1965","9779358"
"Czech Republic","CZE","1966","9821040"
"Czech Republic","CZE","1967","9852899"
"Czech Republic","CZE","1968","9876346"
"Czech Republic","CZE","1969","9896580"
"Czech Republic","CZE","1970","9858071"
"Czech Republic","CZE","1971","9826815"
"Czech Republic","CZE","1972","9867632"
"Czech Republic","CZE","1973","9922266"
"Czech Republic","CZE","1974","9988459"
"Czech Republic","CZE","1975","10058620"
"Czech Republic","CZE","1976","10125939"
"Czech Republic","CZE","1977","10186755"
"Czech Republic","CZE","1978","10242098"
"Czech Republic","CZE","1979","10292341"
"Czech Republic","CZE","1980","10304193"
"Czech Republic","CZE","1981","10300591"
"Czech Republic","CZE","1982","10314826"
"Czech Republic","CZE","1983","10323856"
"Czech Republic","CZE","1984","10330213"
"Czech Republic","CZE","1985","10337118"
"Czech Republic","CZE","1986","10342227"
"Czech Republic","CZE","1987","10347318"
"Czech Republic","CZE","1988","10355276"
"Czech Republic","CZE","1989","10361068"
"Czech Republic","CZE","1990","10333355"
"Czech Republic","CZE","1991","10308578"
"Czech Republic","CZE","1992","10319123"
"Czech Republic","CZE","1993","10329855"
"Czech Republic","CZE","1994","10333587"
"Czech Republic","CZE","1995","10327253"
"Czech Republic","CZE","1996","10315241"
"Czech Republic","CZE","1997","10304131"
"Czech Republic","CZE","1998","10294373"
"Czech Republic","CZE","1999","10283860"
"Czech Republic","CZE","2000","10255063"
"Czech Republic","CZE","2001","10216605"
"Czech Republic","CZE","2002","10196916"
"Czech Republic","CZE","2003","10193998"
"Czech Republic","CZE","2004","10197101"
"Czech Republic","CZE","2005","10211216"
"Czech Republic","CZE","2006","10238905"
"Czech Republic","CZE","2007","10298828"
"Czech Republic","CZE","2008","10384603"
"Czech Republic","CZE","2009","10443936"
"Czech Republic","CZE","2010","10474410"
"Czech Republic","CZE","2011","10496088"
"Czech Republic","CZE","2012","10510785"
"Czech Republic","CZE","2013","10514272"
"Czech Republic","CZE","2014","10525347"
"Czech Republic","CZE","2015","10546059"
"Czech Republic","CZE","2016","10561633"
