"Country Name","Country Code","Year","Value"
"Djibouti","DJI","1960","83636"
"Djibouti","DJI","1961","88498"
"Djibouti","DJI","1962","94204"
"Djibouti","DJI","1963","100628"
"Djibouti","DJI","1964","107583"
"Djibouti","DJI","1965","114963"
"Djibouti","DJI","1966","122866"
"Djibouti","DJI","1967","131397"
"Djibouti","DJI","1968","140462"
"Djibouti","DJI","1969","149887"
"Djibouti","DJI","1970","159659"
"Djibouti","DJI","1971","169372"
"Djibouti","DJI","1972","179224"
"Djibouti","DJI","1973","190568"
"Djibouti","DJI","1974","205181"
"Djibouti","DJI","1975","224183"
"Djibouti","DJI","1976","248556"
"Djibouti","DJI","1977","277479"
"Djibouti","DJI","1978","308008"
"Djibouti","DJI","1979","336085"
"Djibouti","DJI","1980","358960"
"Djibouti","DJI","1981","374937"
"Djibouti","DJI","1982","385271"
"Djibouti","DJI","1983","393802"
"Djibouti","DJI","1984","406017"
"Djibouti","DJI","1985","425613"
"Djibouti","DJI","1986","454361"
"Djibouti","DJI","1987","490330"
"Djibouti","DJI","1988","528999"
"Djibouti","DJI","1989","563864"
"Djibouti","DJI","1990","590398"
"Djibouti","DJI","1991","606844"
"Djibouti","DJI","1992","615054"
"Djibouti","DJI","1993","618495"
"Djibouti","DJI","1994","622366"
"Djibouti","DJI","1995","630388"
"Djibouti","DJI","1996","643682"
"Djibouti","DJI","1997","660953"
"Djibouti","DJI","1998","680612"
"Djibouti","DJI","1999","700099"
"Djibouti","DJI","2000","717584"
"Djibouti","DJI","2001","732711"
"Djibouti","DJI","2002","746221"
"Djibouti","DJI","2003","758615"
"Djibouti","DJI","2004","770752"
"Djibouti","DJI","2005","783254"
"Djibouti","DJI","2006","796208"
"Djibouti","DJI","2007","809402"
"Djibouti","DJI","2008","822934"
"Djibouti","DJI","2009","836840"
"Djibouti","DJI","2010","851146"
"Djibouti","DJI","2011","865937"
"Djibouti","DJI","2012","881185"
"Djibouti","DJI","2013","896688"
"Djibouti","DJI","2014","912164"
"Djibouti","DJI","2015","927414"
"Djibouti","DJI","2016","942333"
