"Country Name","Country Code","Year","Value"
"Dominican Republic","DOM","1960","3294042"
"Dominican Republic","DOM","1961","3406299"
"Dominican Republic","DOM","1962","3521278"
"Dominican Republic","DOM","1963","3638628"
"Dominican Republic","DOM","1964","3757956"
"Dominican Republic","DOM","1965","3878948"
"Dominican Republic","DOM","1966","4001375"
"Dominican Republic","DOM","1967","4125109"
"Dominican Republic","DOM","1968","4250025"
"Dominican Republic","DOM","1969","4376054"
"Dominican Republic","DOM","1970","4503114"
"Dominican Republic","DOM","1971","4631114"
"Dominican Republic","DOM","1972","4759934"
"Dominican Republic","DOM","1973","4889436"
"Dominican Republic","DOM","1974","5019473"
"Dominican Republic","DOM","1975","5149935"
"Dominican Republic","DOM","1976","5280723"
"Dominican Republic","DOM","1977","5411865"
"Dominican Republic","DOM","1978","5543517"
"Dominican Republic","DOM","1979","5675931"
"Dominican Republic","DOM","1980","5809269"
"Dominican Republic","DOM","1981","5943591"
"Dominican Republic","DOM","1982","6078820"
"Dominican Republic","DOM","1983","6214857"
"Dominican Republic","DOM","1984","6351572"
"Dominican Republic","DOM","1985","6488856"
"Dominican Republic","DOM","1986","6626542"
"Dominican Republic","DOM","1987","6764624"
"Dominican Republic","DOM","1988","6903316"
"Dominican Republic","DOM","1989","7042937"
"Dominican Republic","DOM","1990","7183647"
"Dominican Republic","DOM","1991","7325622"
"Dominican Republic","DOM","1992","7468551"
"Dominican Republic","DOM","1993","7611465"
"Dominican Republic","DOM","1994","7753052"
"Dominican Republic","DOM","1995","7892423"
"Dominican Republic","DOM","1996","8029113"
"Dominican Republic","DOM","1997","8163472"
"Dominican Republic","DOM","1998","8296375"
"Dominican Republic","DOM","1999","8429112"
"Dominican Republic","DOM","2000","8562622"
"Dominican Republic","DOM","2001","8697126"
"Dominican Republic","DOM","2002","8832285"
"Dominican Republic","DOM","2003","8967760"
"Dominican Republic","DOM","2004","9102998"
"Dominican Republic","DOM","2005","9237566"
"Dominican Republic","DOM","2006","9371338"
"Dominican Republic","DOM","2007","9504353"
"Dominican Republic","DOM","2008","9636520"
"Dominican Republic","DOM","2009","9767758"
"Dominican Republic","DOM","2010","9897985"
"Dominican Republic","DOM","2011","10027095"
"Dominican Republic","DOM","2012","10154950"
"Dominican Republic","DOM","2013","10281296"
"Dominican Republic","DOM","2014","10405844"
"Dominican Republic","DOM","2015","10528394"
"Dominican Republic","DOM","2016","10648791"
