"Year","Value"
"1960","979226919.0"
"1961","1002452948.0"
"1962","1026507449.0"
"1963","1051325637.0"
"1964","1076932498.0"
"1965","1103304703.0"
"1966","1130426147.0"
"1967","1158369169.0"
"1968","1187026097.0"
"1969","1216472256.0"
"1970","1246716017.0"
"1971","1277762374.0"
"1972","1309604349.0"
"1973","1342263687.0"
"1974","1375594732.0"
"1975","1409580208.0"
"1976","1444169309.0"
"1977","1479422523.0"
"1978","1515592095.0"
"1979","1553047664.0"
"1980","1591990202.0"
"1981","1632475500.0"
"1982","1674359619.0"
"1983","1717368237.0"
"1984","1761090462.0"
"1985","1805249148.0"
"1986","1849730185.0"
"1987","1894522377.0"
"1988","1939445455.0"
"1989","1984308307.0"
"1990","2031055831.0"
"1991","2075649490.0"
"1992","2119850957.0"
"1993","2163826818.0"
"1994","2207779855.0"
"1995","2251918069.0"
"1996","2296329568.0"
"1997","2340898615.0"
"1998","2385398260.0"
"1999","2429667617.0"
"2000","2473774746.0"
"2001","2517286127.0"
"2002","2560644470.88287"
"2003","2603838624.89893"
"2004","2647027405.99137"
"2005","2690316623.24397"
"2006","2733734510.48499"
"2007","2777285768.99093"
"2008","2820959886.29553"
"2009","2864730145.1102"
"2010","2908808244.36223"
"2011","2952873719.35782"
"2012","2996573424.07723"
"2013","3040240927.61008"
"2014","3083836359.73916"
"2015","3127290268.68203"
"2016","3170542188.0"
