"Year","Value"
"1960","884594151.0"
"1961","883622082.0"
"1962","895002116.0"
"1963","917678098.0"
"1964","939976174.0"
"1965","963246433.0"
"1966","990056431.0"
"1967","1015955063.0"
"1968","1042826969.0"
"1969","1071434338.0"
"1970","1101000676.0"
"1971","1131263830.0"
"1972","1159838734.0"
"1973","1187515154.0"
"1974","1213723493.0"
"1975","1237541051.0"
"1976","1259540585.0"
"1977","1279975038.0"
"1978","1300380203.0"
"1979","1321054512.0"
"1980","1341328073.0"
"1981","1362159945.0"
"1982","1385232730.0"
"1983","1408390228.0"
"1984","1430515138.0"
"1985","1453475988.0"
"1986","1478163226.0"
"1987","1504452906.0"
"1988","1531050837.0"
"1989","1556971773.0"
"1990","1582008622.0"
"1991","1605931102.0"
"1992","1628282963.0"
"1993","1649805506.0"
"1994","1671218210.0"
"1995","1692280431.0"
"1996","1713057144.0"
"1997","1733683046.0"
"1998","1753650434.0"
"1999","1772519122.0"
"2000","1790334133.0"
"2001","1807343753.0"
"2002","1823578257.0"
"2003","1839213961.0"
"2004","1854486630.0"
"2005","1869631076.0"
"2006","1884292297.0"
"2007","1898416530.0"
"2008","1912402987.0"
"2009","1926269218.0"
"2010","1940064830.0"
"2011","1953970563.0"
"2012","1968120178.0"
"2013","1982414412.0"
"2014","1996870376.0"
"2015","2011274432.0"
"2016","2026028438.0"
