"Year","Value"
"1960","896028698.0"
"1961","895298263.0"
"1962","906884794.0"
"1963","929755070.0"
"1964","952270698.0"
"1965","975806696.0"
"1966","1002934760.0"
"1967","1029191793.0"
"1968","1056451631.0"
"1969","1085459960.0"
"1970","1115426888.0"
"1971","1146089613.0"
"1972","1175063145.0"
"1973","1203125473.0"
"1974","1229692862.0"
"1975","1253833445.0"
"1976","1276113367.0"
"1977","1296790080.0"
"1978","1317415135.0"
"1979","1338309727.0"
"1980","1358820476.0"
"1981","1379912281.0"
"1982","1403263369.0"
"1983","1426711590.0"
"1984","1449129592.0"
"1985","1472378771.0"
"1986","1497346873.0"
"1987","1523913102.0"
"1988","1550788717.0"
"1989","1576996364.0"
"1990","1602333626.0"
"1991","1626573153.0"
"1992","1649254066.0"
"1993","1671105718.0"
"1994","1692831189.0"
"1995","1714178345.0"
"1996","1735206930.0"
"1997","1756055502.0"
"1998","1776225147.0"
"1999","1795288998.0"
"2000","1813301554.0"
"2001","1830514334.0"
"2002","1846954095.0"
"2003","1862791918.0"
"2004","1878255588.0"
"2005","1893574455.0"
"2006","1908392032.0"
"2007","1922657606.0"
"2008","1936774935.0"
"2009","1950768124.0"
"2010","1964691596.0"
"2011","1978727582.0"
"2012","1993008684.0"
"2013","2007434775.0"
"2014","2022021082.0"
"2015","2036552598.0"
"2016","2051431154.0"
