"Country Name","Country Code","Year","Value"
"Ecuador","ECU","1960","4545550"
"Ecuador","ECU","1961","4676859"
"Ecuador","ECU","1962","4812890"
"Ecuador","ECU","1963","4953733"
"Ecuador","ECU","1964","5099468"
"Ecuador","ECU","1965","5250119"
"Ecuador","ECU","1966","5405685"
"Ecuador","ECU","1967","5566057"
"Ecuador","ECU","1968","5730906"
"Ecuador","ECU","1969","5899845"
"Ecuador","ECU","1970","6072527"
"Ecuador","ECU","1971","6248835"
"Ecuador","ECU","1972","6428711"
"Ecuador","ECU","1973","6611916"
"Ecuador","ECU","1974","6798206"
"Ecuador","ECU","1975","6987391"
"Ecuador","ECU","1976","7179399"
"Ecuador","ECU","1977","7374234"
"Ecuador","ECU","1978","7571959"
"Ecuador","ECU","1979","7772653"
"Ecuador","ECU","1980","7976445"
"Ecuador","ECU","1981","8183194"
"Ecuador","ECU","1982","8392940"
"Ecuador","ECU","1983","8606213"
"Ecuador","ECU","1984","8823751"
"Ecuador","ECU","1985","9045979"
"Ecuador","ECU","1986","9272906"
"Ecuador","ECU","1987","9504129"
"Ecuador","ECU","1988","9739176"
"Ecuador","ECU","1989","9977377"
"Ecuador","ECU","1990","10218091"
"Ecuador","ECU","1991","10460990"
"Ecuador","ECU","1992","10705667"
"Ecuador","ECU","1993","10951202"
"Ecuador","ECU","1994","11196479"
"Ecuador","ECU","1995","11440583"
"Ecuador","ECU","1996","11683479"
"Ecuador","ECU","1997","11924993"
"Ecuador","ECU","1998","12163885"
"Ecuador","ECU","1999","12398691"
"Ecuador","ECU","2000","12628596"
"Ecuador","ECU","2001","12852755"
"Ecuador","ECU","2002","13072060"
"Ecuador","ECU","2003","13289601"
"Ecuador","ECU","2004","13509647"
"Ecuador","ECU","2005","13735233"
"Ecuador","ECU","2006","13967480"
"Ecuador","ECU","2007","14205453"
"Ecuador","ECU","2008","14447562"
"Ecuador","ECU","2009","14691275"
"Ecuador","ECU","2010","14934690"
"Ecuador","ECU","2011","15177355"
"Ecuador","ECU","2012","15419666"
"Ecuador","ECU","2013","15661547"
"Ecuador","ECU","2014","15903112"
"Ecuador","ECU","2015","16144368"
"Ecuador","ECU","2016","16385068"
