"Country Name","Country Code","Year","Value"
"Egypt, Arab Rep.","EGY","1960","26996533"
"Egypt, Arab Rep.","EGY","1961","27744712"
"Egypt, Arab Rep.","EGY","1962","28506176"
"Egypt, Arab Rep.","EGY","1963","29281250"
"Egypt, Arab Rep.","EGY","1964","30071102"
"Egypt, Arab Rep.","EGY","1965","30875964"
"Egypt, Arab Rep.","EGY","1966","31697616"
"Egypt, Arab Rep.","EGY","1967","32534021"
"Egypt, Arab Rep.","EGY","1968","33377259"
"Egypt, Arab Rep.","EGY","1969","34216826"
"Egypt, Arab Rep.","EGY","1970","35046273"
"Egypt, Arab Rep.","EGY","1971","35863382"
"Egypt, Arab Rep.","EGY","1972","36673642"
"Egypt, Arab Rep.","EGY","1973","37488067"
"Egypt, Arab Rep.","EGY","1974","38322022"
"Egypt, Arab Rep.","EGY","1975","39187702"
"Egypt, Arab Rep.","EGY","1976","40089032"
"Egypt, Arab Rep.","EGY","1977","41026477"
"Egypt, Arab Rep.","EGY","1978","42004655"
"Egypt, Arab Rep.","EGY","1979","43027816"
"Egypt, Arab Rep.","EGY","1980","44099142"
"Egypt, Arab Rep.","EGY","1981","45216506"
"Egypt, Arab Rep.","EGY","1982","46379620"
"Egypt, Arab Rep.","EGY","1983","47594556"
"Egypt, Arab Rep.","EGY","1984","48868951"
"Egypt, Arab Rep.","EGY","1985","50204985"
"Egypt, Arab Rep.","EGY","1986","51607703"
"Egypt, Arab Rep.","EGY","1987","53066229"
"Egypt, Arab Rep.","EGY","1988","54547296"
"Egypt, Arab Rep.","EGY","1989","56006573"
"Egypt, Arab Rep.","EGY","1990","57412215"
"Egypt, Arab Rep.","EGY","1991","58752390"
"Egypt, Arab Rep.","EGY","1992","60035536"
"Egypt, Arab Rep.","EGY","1993","61275601"
"Egypt, Arab Rep.","EGY","1994","62495745"
"Egypt, Arab Rep.","EGY","1995","63714386"
"Egypt, Arab Rep.","EGY","1996","64933456"
"Egypt, Arab Rep.","EGY","1997","66151117"
"Egypt, Arab Rep.","EGY","1998","67378056"
"Egypt, Arab Rep.","EGY","1999","68626664"
"Egypt, Arab Rep.","EGY","2000","69905988"
"Egypt, Arab Rep.","EGY","2001","71226940"
"Egypt, Arab Rep.","EGY","2002","72590118"
"Egypt, Arab Rep.","EGY","2003","73981942"
"Egypt, Arab Rep.","EGY","2004","75381899"
"Egypt, Arab Rep.","EGY","2005","76778149"
"Egypt, Arab Rep.","EGY","2006","78159048"
"Egypt, Arab Rep.","EGY","2007","79537253"
"Egypt, Arab Rep.","EGY","2008","80953881"
"Egypt, Arab Rep.","EGY","2009","82465022"
"Egypt, Arab Rep.","EGY","2010","84107606"
"Egypt, Arab Rep.","EGY","2011","85897561"
"Egypt, Arab Rep.","EGY","2012","87813257"
"Egypt, Arab Rep.","EGY","2013","89807433"
"Egypt, Arab Rep.","EGY","2014","91812566"
"Egypt, Arab Rep.","EGY","2015","93778172"
"Egypt, Arab Rep.","EGY","2016","95688681"
