"Country Name","Country Code","Year","Value"
"Equatorial Guinea","GNQ","1960","255323"
"Equatorial Guinea","GNQ","1961","258947"
"Equatorial Guinea","GNQ","1962","262590"
"Equatorial Guinea","GNQ","1963","266598"
"Equatorial Guinea","GNQ","1964","271457"
"Equatorial Guinea","GNQ","1965","277396"
"Equatorial Guinea","GNQ","1966","284868"
"Equatorial Guinea","GNQ","1967","293440"
"Equatorial Guinea","GNQ","1968","301353"
"Equatorial Guinea","GNQ","1969","306233"
"Equatorial Guinea","GNQ","1970","306515"
"Equatorial Guinea","GNQ","1971","301666"
"Equatorial Guinea","GNQ","1972","292585"
"Equatorial Guinea","GNQ","1973","281021"
"Equatorial Guinea","GNQ","1974","269426"
"Equatorial Guinea","GNQ","1975","259747"
"Equatorial Guinea","GNQ","1976","252194"
"Equatorial Guinea","GNQ","1977","246677"
"Equatorial Guinea","GNQ","1978","244485"
"Equatorial Guinea","GNQ","1979","247078"
"Equatorial Guinea","GNQ","1980","255325"
"Equatorial Guinea","GNQ","1981","270063"
"Equatorial Guinea","GNQ","1982","290617"
"Equatorial Guinea","GNQ","1983","314475"
"Equatorial Guinea","GNQ","1984","338086"
"Equatorial Guinea","GNQ","1985","358896"
"Equatorial Guinea","GNQ","1986","376024"
"Equatorial Guinea","GNQ","1987","390173"
"Equatorial Guinea","GNQ","1988","402326"
"Equatorial Guinea","GNQ","1989","414138"
"Equatorial Guinea","GNQ","1990","426846"
"Equatorial Guinea","GNQ","1991","440624"
"Equatorial Guinea","GNQ","1992","455148"
"Equatorial Guinea","GNQ","1993","470610"
"Equatorial Guinea","GNQ","1994","487140"
"Equatorial Guinea","GNQ","1995","504871"
"Equatorial Guinea","GNQ","1996","523999"
"Equatorial Guinea","GNQ","1997","544636"
"Equatorial Guinea","GNQ","1998","566673"
"Equatorial Guinea","GNQ","1999","589938"
"Equatorial Guinea","GNQ","2000","614323"
"Equatorial Guinea","GNQ","2001","639762"
"Equatorial Guinea","GNQ","2002","666407"
"Equatorial Guinea","GNQ","2003","694611"
"Equatorial Guinea","GNQ","2004","724817"
"Equatorial Guinea","GNQ","2005","757317"
"Equatorial Guinea","GNQ","2006","792217"
"Equatorial Guinea","GNQ","2007","829327"
"Equatorial Guinea","GNQ","2008","868418"
"Equatorial Guinea","GNQ","2009","909111"
"Equatorial Guinea","GNQ","2010","951104"
"Equatorial Guinea","GNQ","2011","994290"
"Equatorial Guinea","GNQ","2012","1038593"
"Equatorial Guinea","GNQ","2013","1083746"
"Equatorial Guinea","GNQ","2014","1129424"
"Equatorial Guinea","GNQ","2015","1175389"
"Equatorial Guinea","GNQ","2016","1221490"
