"Year","Value"
"1960","1397491.0"
"1961","1432640.0"
"1962","1469645.0"
"1963","1508273.0"
"1964","1548187.0"
"1965","1589179.0"
"1966","1631147.0"
"1967","1674204.0"
"1968","1718525.0"
"1969","1764343.0"
"1970","1811878.0"
"1971","1861199.0"
"1972","1912302.0"
"1973","1965160.0"
"1974","2019717.0"
"1975","2075965.0"
"1976","2133723.0"
"1977","2193068.0"
"1978","2254450.0"
"1979","2318495.0"
"1980","2385540.0"
"1981","2454766.0"
"1982","2525521.0"
"1983","2598410.0"
"1984","2674289.0"
"1985","2753151.0"
"1986","2837111.0"
"1987","2924349.0"
"1988","3006361.0"
"1989","3071771.0"
"1990","3113311.0"
"1991","3127297.0"
"1992","3118582.0"
"1993","3099047.0"
"1994","3085443.0"
"1995","3090159.0"
"1996","3116379.0"
"1997","3161350.0"
"1998","3224223.0"
"1999","3302263.0"
"2000","3392801.0"
"2001","3497124.0"
"2002","3614639.0"
"2003","3738265.0"
"2004","3858623.0"
"2005","3969007.0"
"2006","4066648.0"
"2007","4153332.0"
"2008","4232636.0"
"2009","4310334.0"
"2010","4390840.0"
"2011","4474690.0"
