"Country Name","Country Code","Year","Value"
"Estonia","EST","1960","1211537"
"Estonia","EST","1961","1225077"
"Estonia","EST","1962","1241623"
"Estonia","EST","1963","1258857"
"Estonia","EST","1964","1277086"
"Estonia","EST","1965","1294566"
"Estonia","EST","1966","1308597"
"Estonia","EST","1967","1318946"
"Estonia","EST","1968","1331214"
"Estonia","EST","1969","1345249"
"Estonia","EST","1970","1360076"
"Estonia","EST","1971","1376955"
"Estonia","EST","1972","1392518"
"Estonia","EST","1973","1405951"
"Estonia","EST","1974","1418169"
"Estonia","EST","1975","1429352"
"Estonia","EST","1976","1439576"
"Estonia","EST","1977","1450211"
"Estonia","EST","1978","1460188"
"Estonia","EST","1979","1468333"
"Estonia","EST","1980","1477219"
"Estonia","EST","1981","1487666"
"Estonia","EST","1982","1498414"
"Estonia","EST","1983","1508745"
"Estonia","EST","1984","1518617"
"Estonia","EST","1985","1528781"
"Estonia","EST","1986","1540190"
"Estonia","EST","1987","1552221"
"Estonia","EST","1988","1561900"
"Estonia","EST","1989","1568131"
"Estonia","EST","1990","1569174"
"Estonia","EST","1991","1561314"
"Estonia","EST","1992","1533091"
"Estonia","EST","1993","1494128"
"Estonia","EST","1994","1462514"
"Estonia","EST","1995","1436634"
"Estonia","EST","1996","1415594"
"Estonia","EST","1997","1399535"
"Estonia","EST","1998","1386156"
"Estonia","EST","1999","1390244"
"Estonia","EST","2000","1396985"
"Estonia","EST","2001","1388115"
"Estonia","EST","2002","1379350"
"Estonia","EST","2003","1370720"
"Estonia","EST","2004","1362550"
"Estonia","EST","2005","1354775"
"Estonia","EST","2006","1346810"
"Estonia","EST","2007","1340680"
"Estonia","EST","2008","1337090"
"Estonia","EST","2009","1334515"
"Estonia","EST","2010","1331475"
"Estonia","EST","2011","1327439"
"Estonia","EST","2012","1322696"
"Estonia","EST","2013","1317997"
"Estonia","EST","2014","1314545"
"Estonia","EST","2015","1315407"
"Estonia","EST","2016","1316481"
