"Country Name","Country Code","Year","Value"
"Ethiopia","ETH","1960","22151278"
"Ethiopia","ETH","1961","22671190"
"Ethiopia","ETH","1962","23221389"
"Ethiopia","ETH","1963","23798429"
"Ethiopia","ETH","1964","24397024"
"Ethiopia","ETH","1965","25013626"
"Ethiopia","ETH","1966","25641376"
"Ethiopia","ETH","1967","26281208"
"Ethiopia","ETH","1968","26946079"
"Ethiopia","ETH","1969","27654161"
"Ethiopia","ETH","1970","28415077"
"Ethiopia","ETH","1971","29245207"
"Ethiopia","ETH","1972","30132580"
"Ethiopia","ETH","1973","31025115"
"Ethiopia","ETH","1974","31851708"
"Ethiopia","ETH","1975","32566821"
"Ethiopia","ETH","1976","33146891"
"Ethiopia","ETH","1977","33622390"
"Ethiopia","ETH","1978","34068316"
"Ethiopia","ETH","1979","34590226"
"Ethiopia","ETH","1980","35264898"
"Ethiopia","ETH","1981","36120288"
"Ethiopia","ETH","1982","37136848"
"Ethiopia","ETH","1983","38285883"
"Ethiopia","ETH","1984","39518801"
"Ethiopia","ETH","1985","40800343"
"Ethiopia","ETH","1986","42120730"
"Ethiopia","ETH","1987","43493283"
"Ethiopia","ETH","1988","44932064"
"Ethiopia","ETH","1989","46458913"
"Ethiopia","ETH","1990","48086516"
"Ethiopia","ETH","1991","49821083"
"Ethiopia","ETH","1992","51647768"
"Ethiopia","ETH","1993","53532956"
"Ethiopia","ETH","1994","55431123"
"Ethiopia","ETH","1995","57309880"
"Ethiopia","ETH","1996","59155148"
"Ethiopia","ETH","1997","60976450"
"Ethiopia","ETH","1998","62794151"
"Ethiopia","ETH","1999","64640054"
"Ethiopia","ETH","2000","66537331"
"Ethiopia","ETH","2001","68492257"
"Ethiopia","ETH","2002","70497192"
"Ethiopia","ETH","2003","72545144"
"Ethiopia","ETH","2004","74624405"
"Ethiopia","ETH","2005","76727083"
"Ethiopia","ETH","2006","78850689"
"Ethiopia","ETH","2007","81000409"
"Ethiopia","ETH","2008","83184892"
"Ethiopia","ETH","2009","85416253"
"Ethiopia","ETH","2010","87702670"
"Ethiopia","ETH","2011","90046756"
"Ethiopia","ETH","2012","92444183"
"Ethiopia","ETH","2013","94887724"
"Ethiopia","ETH","2014","97366774"
"Ethiopia","ETH","2015","99873033"
"Ethiopia","ETH","2016","102403196"
