"Year","Value"
"1960","265396502.0"
"1961","267825309.0"
"1962","270324828.0"
"1963","272876447.0"
"1964","275382197.0"
"1965","277856703.0"
"1966","280147494.0"
"1967","282114545.0"
"1968","283966953.0"
"1969","285855058.0"
"1970","287416205.0"
"1971","289032499.0"
"1972","291040689.0"
"1973","292961768.0"
"1974","294689415.0"
"1975","296244715.0"
"1976","297573002.0"
"1977","298738608.0"
"1978","299908948.0"
"1979","301099972.0"
"1980","302363486.0"
"1981","303498663.0"
"1982","304314034.0"
"1983","304920007.0"
"1984","305432240.0"
"1985","306018719.0"
"1986","306797207.0"
"1987","307668322.0"
"1988","308725859.0"
"1989","310080079.0"
"1990","311539698.0"
"1991","312708143.0"
"1992","314162055.0"
"1993","315449102.0"
"1994","316366781.0"
"1995","317181450.0"
"1996","318003013.0"
"1997","318761758.0"
"1998","319433986.0"
"1999","320258899.0"
"2000","321310785.0"
"2001","322547881.0"
"2002","324125338.0"
"2003","325885962.0"
"2004","327682509.0"
"2005","329380418.0"
"2006","330922786.0"
"2007","332645168.0"
"2008","334274731.0"
"2009","335360887.0"
"2010","336151479.0"
"2011","335425831.0"
"2012","336167296.0"
"2013","337296873.0"
"2014","338429646.0"
"2015","339519210.0"
"2016","340894606.0"
