"Year","Value"
"1960","308725388.0"
"1961","313380986.0"
"1962","318070294.0"
"1963","322832322.0"
"1964","327602523.0"
"1965","332185772.0"
"1966","336037201.0"
"1967","340026927.0"
"1968","343930844.0"
"1969","347710540.0"
"1970","351363928.0"
"1971","355018390.0"
"1972","358817766.0"
"1973","362625007.0"
"1974","366468511.0"
"1975","370345370.0"
"1976","374380988.0"
"1977","378335273.0"
"1978","382215827.0"
"1979","386070618.0"
"1980","390068206.0"
"1981","394132391.0"
"1982","398033246.0"
"1983","401922560.0"
"1984","406045884.0"
"1985","410151269.0"
"1986","414186469.0"
"1987","418164696.0"
"1988","421971143.0"
"1989","425588882.0"
"1990","428318228.0"
"1991","430153302.0"
"1992","431844672.0"
"1993","433366951.0"
"1994","434111200.0"
"1995","434648577.0"
"1996","434909531.0"
"1997","435422592.0"
"1998","435662495.0"
"1999","435732195.0"
"2000","435342598.0"
"2001","435134241.0"
"2002","434804671.0"
"2003","434924961.0"
"2004","435247221.0"
"2005","435634937.0"
"2006","436152601.0"
"2007","436814265.0"
"2008","437864853.0"
"2009","439624552.0"
"2010","441513488.0"
"2011","443585208.0"
"2012","445769749.0"
"2013","448166840.0"
"2014","450522686.0"
"2015","452962149.0"
"2016","455372659.0"
