"Country Name","Country Code","Year","Value"
"Europe & Central Asia (excluding high income)","ECA","1960","279087938"
"Europe & Central Asia (excluding high income)","ECA","1961","283416986"
"Europe & Central Asia (excluding high income)","ECA","1962","287761794"
"Europe & Central Asia (excluding high income)","ECA","1963","292120322"
"Europe & Central Asia (excluding high income)","ECA","1964","296463073"
"Europe & Central Asia (excluding high income)","ECA","1965","300740822"
"Europe & Central Asia (excluding high income)","ECA","1966","304356201"
"Europe & Central Asia (excluding high income)","ECA","1967","308039772"
"Europe & Central Asia (excluding high income)","ECA","1968","311636189"
"Europe & Central Asia (excluding high income)","ECA","1969","315162240"
"Europe & Central Asia (excluding high income)","ECA","1970","318699628"
"Europe & Central Asia (excluding high income)","ECA","1971","322234890"
"Europe & Central Asia (excluding high income)","ECA","1972","325762116"
"Europe & Central Asia (excluding high income)","ECA","1973","329267807"
"Europe & Central Asia (excluding high income)","ECA","1974","332789612"
"Europe & Central Asia (excluding high income)","ECA","1975","336330171"
"Europe & Central Asia (excluding high income)","ECA","1976","340024688"
"Europe & Central Asia (excluding high income)","ECA","1977","343646223"
"Europe & Central Asia (excluding high income)","ECA","1978","347250227"
"Europe & Central Asia (excluding high income)","ECA","1979","350823401"
"Europe & Central Asia (excluding high income)","ECA","1980","354494056"
"Europe & Central Asia (excluding high income)","ECA","1981","358233804"
"Europe & Central Asia (excluding high income)","ECA","1982","361802765"
"Europe & Central Asia (excluding high income)","ECA","1983","365350752"
"Europe & Central Asia (excluding high income)","ECA","1984","369141750"
"Europe & Central Asia (excluding high income)","ECA","1985","372949384"
"Europe & Central Asia (excluding high income)","ECA","1986","376730350"
"Europe & Central Asia (excluding high income)","ECA","1987","380496651"
"Europe & Central Asia (excluding high income)","ECA","1988","384146656"
"Europe & Central Asia (excluding high income)","ECA","1989","387627353"
"Europe & Central Asia (excluding high income)","ECA","1990","390207446"
"Europe & Central Asia (excluding high income)","ECA","1991","391907109"
"Europe & Central Asia (excluding high income)","ECA","1992","393481005"
"Europe & Central Asia (excluding high income)","ECA","1993","394905543"
"Europe & Central Asia (excluding high income)","ECA","1994","395568548"
"Europe & Central Asia (excluding high income)","ECA","1995","396053579"
"Europe & Central Asia (excluding high income)","ECA","1996","396285161"
"Europe & Central Asia (excluding high income)","ECA","1997","396772932"
"Europe & Central Asia (excluding high income)","ECA","1998","396999014"
"Europe & Central Asia (excluding high income)","ECA","1999","397071924"
"Europe & Central Asia (excluding high income)","ECA","2000","397083969"
"Europe & Central Asia (excluding high income)","ECA","2001","396886165"
"Europe & Central Asia (excluding high income)","ECA","2002","396574307"
"Europe & Central Asia (excluding high income)","ECA","2003","396720391"
"Europe & Central Asia (excluding high income)","ECA","2004","397064999"
"Europe & Central Asia (excluding high income)","ECA","2005","397469492"
"Europe & Central Asia (excluding high income)","ECA","2006","398011334"
"Europe & Central Asia (excluding high income)","ECA","2007","398693705"
"Europe & Central Asia (excluding high income)","ECA","2008","399739094"
"Europe & Central Asia (excluding high income)","ECA","2009","401472949"
"Europe & Central Asia (excluding high income)","ECA","2010","403470694"
"Europe & Central Asia (excluding high income)","ECA","2011","405521953"
"Europe & Central Asia (excluding high income)","ECA","2012","407706585"
"Europe & Central Asia (excluding high income)","ECA","2013","410126644"
"Europe & Central Asia (excluding high income)","ECA","2014","412510951"
"Europe & Central Asia (excluding high income)","ECA","2015","414975737"
"Europe & Central Asia (excluding high income)","ECA","2016","417424643"
