"Year","Value"
"1960","667246384.0"
"1961","674972972.0"
"1962","682938669.0"
"1963","690962675.0"
"1964","698905664.0"
"1965","706609007.0"
"1966","713341112.0"
"1967","719879789.0"
"1968","726161895.0"
"1969","732317863.0"
"1970","737948178.0"
"1971","743607439.0"
"1972","749815857.0"
"1973","755867961.0"
"1974","761701324.0"
"1975","767332578.0"
"1976","772838318.0"
"1977","778094845.0"
"1978","783298994.0"
"1979","788525199.0"
"1980","793937090.0"
"1981","799215272.0"
"1982","803972967.0"
"1983","808524728.0"
"1984","813281381.0"
"1985","818146882.0"
"1986","823155058.0"
"1987","828213790.0"
"1988","833315236.0"
"1989","838462813.0"
"1990","842848473.0"
"1991","846178277.0"
"1992","849656744.0"
"1993","852762014.0"
"1994","854723057.0"
"1995","856352861.0"
"1996","857652703.0"
"1997","859112727.0"
"1998","860236344.0"
"1999","861380105.0"
"2000","862304084.0"
"2001","863615633.0"
"2002","865196877.0"
"2003","867457662.0"
"2004","870030758.0"
"2005","872661621.0"
"2006","875343230.0"
"2007","878465992.0"
"2008","881965816.0"
"2009","885591693.0"
"2010","889016221.0"
"2011","891094964.0"
"2012","894666669.0"
"2013","898855113.0"
"2014","903094668.0"
"2015","907424836.0"
"2016","911995305.0"
