"Year","Value"
"1960","409498463.0"
"1961","413007006.0"
"1962","416670637.0"
"1963","420393293.0"
"1964","424075858.0"
"1965","427592605.0"
"1966","430868372.0"
"1967","434001556.0"
"1968","436916059.0"
"1969","439730656.0"
"1970","442062266.0"
"1971","444400996.0"
"1972","447253578.0"
"1973","449960637.0"
"1974","452475893.0"
"1975","454865483.0"
"1976","457001001.0"
"1977","458888174.0"
"1978","460699315.0"
"1979","462488540.0"
"1980","464392913.0"
"1981","466099879.0"
"1982","467389436.0"
"1983","468468840.0"
"1984","469501597.0"
"1985","470637754.0"
"1986","471937316.0"
"1987","473284093.0"
"1988","474792549.0"
"1989","476392094.0"
"1990","478005307.0"
"1991","478976406.0"
"1992","480438473.0"
"1993","482099284.0"
"1994","483262847.0"
"1995","484271345.0"
"1996","485000714.0"
"1997","485892088.0"
"1998","486565874.0"
"1999","487539363.0"
"2000","488178830.0"
"2001","489155666.0"
"2002","490390251.0"
"2003","492200115.0"
"2004","494162545.0"
"2005","496115011.0"
"2006","497973707.0"
"2007","499916649.0"
"2008","501808478.0"
"2009","503317964.0"
"2010","504421131.0"
"2011","504012082.0"
"2012","505104334.0"
"2013","506592457.0"
"2014","508157247.0"
"2015","509703315.0"
"2016","511497415.0"
