"Country Name","Country Code","Year","Value"
"Faroe Islands","FRO","1960","34661"
"Faroe Islands","FRO","1961","35115"
"Faroe Islands","FRO","1962","35570"
"Faroe Islands","FRO","1963","36014"
"Faroe Islands","FRO","1964","36454"
"Faroe Islands","FRO","1965","36900"
"Faroe Islands","FRO","1966","37334"
"Faroe Islands","FRO","1967","37768"
"Faroe Islands","FRO","1968","38200"
"Faroe Islands","FRO","1969","38646"
"Faroe Islands","FRO","1970","39083"
"Faroe Islands","FRO","1971","39537"
"Faroe Islands","FRO","1972","40009"
"Faroe Islands","FRO","1973","40486"
"Faroe Islands","FRO","1974","40955"
"Faroe Islands","FRO","1975","41407"
"Faroe Islands","FRO","1976","41848"
"Faroe Islands","FRO","1977","42275"
"Faroe Islands","FRO","1978","42693"
"Faroe Islands","FRO","1979","43101"
"Faroe Islands","FRO","1980","43514"
"Faroe Islands","FRO","1981","43917"
"Faroe Islands","FRO","1982","44307"
"Faroe Islands","FRO","1983","44700"
"Faroe Islands","FRO","1984","45122"
"Faroe Islands","FRO","1985","45573"
"Faroe Islands","FRO","1986","46077"
"Faroe Islands","FRO","1987","46621"
"Faroe Islands","FRO","1988","47117"
"Faroe Islands","FRO","1989","47466"
"Faroe Islands","FRO","1990","47594"
"Faroe Islands","FRO","1991","47457"
"Faroe Islands","FRO","1992","47101"
"Faroe Islands","FRO","1993","46640"
"Faroe Islands","FRO","1994","46250"
"Faroe Islands","FRO","1995","46040"
"Faroe Islands","FRO","1996","46058"
"Faroe Islands","FRO","1997","46251"
"Faroe Islands","FRO","1998","46580"
"Faroe Islands","FRO","1999","46937"
"Faroe Islands","FRO","2000","47258"
"Faroe Islands","FRO","2001","47526"
"Faroe Islands","FRO","2002","47769"
"Faroe Islands","FRO","2003","47974"
"Faroe Islands","FRO","2004","48143"
"Faroe Islands","FRO","2005","48285"
"Faroe Islands","FRO","2006","48383"
"Faroe Islands","FRO","2007","48448"
"Faroe Islands","FRO","2008","48485"
"Faroe Islands","FRO","2009","48517"
"Faroe Islands","FRO","2010","48550"
"Faroe Islands","FRO","2011","48608"
"Faroe Islands","FRO","2012","48666"
"Faroe Islands","FRO","2013","48747"
"Faroe Islands","FRO","2014","48842"
"Faroe Islands","FRO","2015","48965"
"Faroe Islands","FRO","2016","49117"
