"Year","Value"
"1960","393386.0"
"1961","407156.0"
"1962","421577.0"
"1963","436208.0"
"1964","450450.0"
"1965","463883.0"
"1966","476324.0"
"1967","487913.0"
"1968","498892.0"
"1969","509658.0"
"1970","520529.0"
"1971","531601.0"
"1972","542814.0"
"1973","554107.0"
"1974","565388.0"
"1975","576595.0"
"1976","587520.0"
"1977","598259.0"
"1978","609345.0"
"1979","621538.0"
"1980","635255.0"
"1981","650955.0"
"1982","668198.0"
"1983","685391.0"
"1984","700366.0"
"1985","711661.0"
"1986","718548.0"
"1987","721725.0"
"1988","722917.0"
"1989","724624.0"
"1990","728628.0"
"1991","735473.0"
"1992","744531.0"
"1993","755026.0"
"1994","765667.0"
"1995","775498.0"
"1996","784476.0"
"1997","792860.0"
"1998","800315.0"
"1999","806494.0"
"2000","811223.0"
"2001","814218.0"
"2002","815691.0"
"2003","816628.0"
"2004","818354.0"
"2005","821817.0"
"2006","827411.0"
"2007","834812.0"
"2008","843340.0"
"2009","851967.0"
"2010","859950.0"
"2011","867086.0"
"2012","873596.0"
"2013","879715.0"
"2014","885806.0"
"2015","892149.0"
"2016","898760.0"
