"Country Name","Country Code","Year","Value"
"Finland","FIN","1960","4429634"
"Finland","FIN","1961","4461005"
"Finland","FIN","1962","4491443"
"Finland","FIN","1963","4523309"
"Finland","FIN","1964","4548543"
"Finland","FIN","1965","4563732"
"Finland","FIN","1966","4580869"
"Finland","FIN","1967","4605744"
"Finland","FIN","1968","4626469"
"Finland","FIN","1969","4623785"
"Finland","FIN","1970","4606307"
"Finland","FIN","1971","4612124"
"Finland","FIN","1972","4639657"
"Finland","FIN","1973","4666081"
"Finland","FIN","1974","4690574"
"Finland","FIN","1975","4711440"
"Finland","FIN","1976","4725664"
"Finland","FIN","1977","4738902"
"Finland","FIN","1978","4752528"
"Finland","FIN","1979","4764690"
"Finland","FIN","1980","4779535"
"Finland","FIN","1981","4799964"
"Finland","FIN","1982","4826933"
"Finland","FIN","1983","4855787"
"Finland","FIN","1984","4881803"
"Finland","FIN","1985","4902206"
"Finland","FIN","1986","4918154"
"Finland","FIN","1987","4932123"
"Finland","FIN","1988","4946481"
"Finland","FIN","1989","4964371"
"Finland","FIN","1990","4986431"
"Finland","FIN","1991","5013740"
"Finland","FIN","1992","5041992"
"Finland","FIN","1993","5066447"
"Finland","FIN","1994","5088333"
"Finland","FIN","1995","5107790"
"Finland","FIN","1996","5124573"
"Finland","FIN","1997","5139835"
"Finland","FIN","1998","5153498"
"Finland","FIN","1999","5165474"
"Finland","FIN","2000","5176209"
"Finland","FIN","2001","5188008"
"Finland","FIN","2002","5200598"
"Finland","FIN","2003","5213014"
"Finland","FIN","2004","5228172"
"Finland","FIN","2005","5246096"
"Finland","FIN","2006","5266268"
"Finland","FIN","2007","5288720"
"Finland","FIN","2008","5313399"
"Finland","FIN","2009","5338871"
"Finland","FIN","2010","5363352"
"Finland","FIN","2011","5388272"
"Finland","FIN","2012","5413971"
"Finland","FIN","2013","5438972"
"Finland","FIN","2014","5461512"
"Finland","FIN","2015","5479531"
"Finland","FIN","2016","5495096"
