"Country Name","Country Code","Year","Value"
"Fragile and conflict affected situations","FCS","1960","121765037"
"Fragile and conflict affected situations","FCS","1961","124558907"
"Fragile and conflict affected situations","FCS","1962","127465500"
"Fragile and conflict affected situations","FCS","1963","130492518"
"Fragile and conflict affected situations","FCS","1964","133661787"
"Fragile and conflict affected situations","FCS","1965","136988867"
"Fragile and conflict affected situations","FCS","1966","140486338"
"Fragile and conflict affected situations","FCS","1967","144152478"
"Fragile and conflict affected situations","FCS","1968","147967143"
"Fragile and conflict affected situations","FCS","1969","151904121"
"Fragile and conflict affected situations","FCS","1970","155946806"
"Fragile and conflict affected situations","FCS","1971","160072960"
"Fragile and conflict affected situations","FCS","1972","164297540"
"Fragile and conflict affected situations","FCS","1973","168673430"
"Fragile and conflict affected situations","FCS","1974","173281249"
"Fragile and conflict affected situations","FCS","1975","178166730"
"Fragile and conflict affected situations","FCS","1976","183363175"
"Fragile and conflict affected situations","FCS","1977","188827291"
"Fragile and conflict affected situations","FCS","1978","194446551"
"Fragile and conflict affected situations","FCS","1979","200065012"
"Fragile and conflict affected situations","FCS","1980","205569660"
"Fragile and conflict affected situations","FCS","1981","210939026"
"Fragile and conflict affected situations","FCS","1982","216213145"
"Fragile and conflict affected situations","FCS","1983","221432781"
"Fragile and conflict affected situations","FCS","1984","226660414"
"Fragile and conflict affected situations","FCS","1985","231956914"
"Fragile and conflict affected situations","FCS","1986","237300542"
"Fragile and conflict affected situations","FCS","1987","242711060"
"Fragile and conflict affected situations","FCS","1988","248333373"
"Fragile and conflict affected situations","FCS","1989","254349779"
"Fragile and conflict affected situations","FCS","1990","262862202"
"Fragile and conflict affected situations","FCS","1991","270090401"
"Fragile and conflict affected situations","FCS","1992","277863547"
"Fragile and conflict affected situations","FCS","1993","285986364"
"Fragile and conflict affected situations","FCS","1994","294177517"
"Fragile and conflict affected situations","FCS","1995","302240865"
"Fragile and conflict affected situations","FCS","1996","310098332"
"Fragile and conflict affected situations","FCS","1997","317827011"
"Fragile and conflict affected situations","FCS","1998","325374011"
"Fragile and conflict affected situations","FCS","1999","333069571"
"Fragile and conflict affected situations","FCS","2000","341295147"
"Fragile and conflict affected situations","FCS","2001","350015363"
"Fragile and conflict affected situations","FCS","2002","359110192"
"Fragile and conflict affected situations","FCS","2003","368514375"
"Fragile and conflict affected situations","FCS","2004","378123879"
"Fragile and conflict affected situations","FCS","2005","387862311"
"Fragile and conflict affected situations","FCS","2006","397732436"
"Fragile and conflict affected situations","FCS","2007","407747286"
"Fragile and conflict affected situations","FCS","2008","417919663"
"Fragile and conflict affected situations","FCS","2009","428246870"
"Fragile and conflict affected situations","FCS","2010","438737943"
"Fragile and conflict affected situations","FCS","2011","449398455"
"Fragile and conflict affected situations","FCS","2012","460228236"
"Fragile and conflict affected situations","FCS","2013","471253115"
"Fragile and conflict affected situations","FCS","2014","482474449"
"Fragile and conflict affected situations","FCS","2015","493919601"
"Fragile and conflict affected situations","FCS","2016","505635987"
