"Year","Value"
"1960","46814237.0"
"1961","47444751.0"
"1962","48119649.0"
"1963","48803680.0"
"1964","49449403.0"
"1965","50023774.0"
"1966","50508717.0"
"1967","50915456.0"
"1968","51276054.0"
"1969","51638260.0"
"1970","52035095.0"
"1971","52480421.0"
"1972","52959228.0"
"1973","53441264.0"
"1974","53882416.0"
"1975","54252574.0"
"1976","54541493.0"
"1977","54764462.0"
"1978","54947975.0"
"1979","55130594.0"
"1980","55340782.0"
"1981","55585824.0"
"1982","55858727.0"
"1983","56156284.0"
"1984","56470769.0"
"1985","56795686.0"
"1986","57132691.0"
"1987","57482591.0"
"1988","57836486.0"
"1989","58182702.0"
"1990","58512808.0"
"1991","58559312.0"
"1992","58851216.0"
"1993","59106766.0"
"1994","59327194.0"
"1995","59541900.0"
"1996","59753098.0"
"1997","59964845.0"
"1998","60186291.0"
"1999","60496715.0"
"2000","60912498.0"
"2001","61357431.0"
"2002","61805267.0"
"2003","62244884.0"
"2004","62704897.0"
"2005","63179356.0"
"2006","63621376.0"
"2007","64016229.0"
"2008","64374990.0"
"2009","64707044.0"
"2010","65027512.0"
"2011","65342776.0"
"2012","65659790.0"
"2013","65998570.0"
"2014","66331957.0"
"2015","66624068.0"
"2016","66896109.0"
